symbol,name,price,pl,status
GFS,GlobalFoundries,36.63$,17.1%,纳入
SCSC,ScanSource,43.48$,15.9%,纳入
SYNA,Synaptics,70.22$,14.3%,纳入
CVLT,康沃系统公司,155.69$,10.2%,纳入
PLAB,福尼克斯,23.18$,7.5%,纳入
AMKR,艾马克技术公司,26.00$,1.7%,纳入
SWKS,思佳讯,88.91$,0.5%,纳入
CRUS,凌云半导体,110.30$,-5.3%,纳入
NSIT,Insight Enterprises,172.21$,-9.2%,纳入
ACLS,Axcelis 科技设计公司,86.09$,-13.8%,纳入
APP,Applovin,130.65$,25.2%,剔除
CORZ,Core Scientific,11.76$,10.8%,剔除
LSCC,莱迪思半导体,48.45$,7.9%,剔除
EPAM,EPAM Systems,177.93$,6.3%,剔除
RPD,Rapid7,38.95$,2.6%,剔除
BL,Blackline,54.13$,2.5%,剔除
DV,DoubleVerify Holdings,16.75$,2.5%,剔除
IPGP,IPG 光电,83.33$,-1.3%,剔除
BELF.A,Bel Fuse,102.50$,-3.4%,剔除
TDC,天睿公司,38.56$,-13.8%,剔除
