symbol,name,price,pl,status
QRVO,Qorvo,69.05$,20.2%,纳入
KLAC,KLA Corp,647.03$,9.8%,纳入
IT,加特纳,517.93$,4.8%,纳入
AMAT,应用材料,174.71$,3.2%,纳入
AKAM,阿克迈技术,94.02$,1.7%,纳入
TER,泰瑞达公司,110.00$,0.0%,纳入
CDW,CDW,175.93$,-1.1%,纳入
ICHR,Ichor,32.76$,-1.7%,纳入
ADI,亚德诺,218.05$,-2.1%,纳入
EPAM,EPAM Systems,243.92$,-4.1%,纳入
ALRM,Alarm.com,65.14$,-6.7%,纳入
MSI,摩托罗拉,499.70$,-7.3%,纳入
ROP,儒博实业,566.44$,-8.2%,纳入
NVDA,英伟达,822.79$,68.1%,剔除
RMBS,Rambus,40.13$,44.1%,剔除
SCSC,ScanSource,43.48$,15.9%,剔除
SYNA,Synaptics,70.22$,14.3%,剔除
CVLT,康沃系统公司,155.69$,10.2%,剔除
PLAB,福尼克斯,23.18$,7.5%,剔除
VRNT,Verint Systems,24.53$,2.7%,剔除
AMKR,艾马克技术公司,26.00$,1.7%,剔除
CRUS,凌云半导体,110.30$,-5.3%,剔除
NSIT,Insight Enterprises,172.21$,-9.2%,剔除
PI,Impinj,211.67$,-9.2%,剔除
ACLS,Axcelis 科技设计公司,86.09$,-13.8%,剔除
SMCI,超微电脑,437.70$,-25.4%,剔除
