symbol,name,price,pl,status
NVDA,英伟达,822.79$,68.1%,纳入
APP,Applovin,62.26$,20.6%,纳入
PRF,,64.81$,14.4%,纳入
DOCU,DocuSign,54.58$,6.7%,纳入
IPGP,IPG 光电,87.67$,-1.1%,纳入
PSTG,Pure Storage,55.33$,-5.9%,纳入
ZM,Zoom 视频通讯,70.91$,-13.1%,纳入
TDC,天睿公司,38.56$,-13.8%,纳入
MARA,Marathon Digital,27.00$,-27.7%,纳入
AMAT,应用材料,166.97$,26.1%,剔除
PLAB,福尼克斯,24.19$,22.7%,剔除
CRUS,凌云半导体,76.97$,21.1%,剔除
ZBRA,美国斑马技术有限公司,242.60$,19.4%,剔除
MANH,曼哈顿联合软件,215.32$,19.2%,剔除
LSCC,莱迪思半导体,68.99$,13.4%,剔除
ALGM,Allegro,30.27$,7.3%,剔除
AMKR,艾马克技术公司,31.95$,3.5%,剔除
COHU,科休半导体,32.16$,2.0%,剔除
