Date,Open,High,Low,Close,Volume
2025-04-08,391.39,403.19,376.23,381.59,2,191,500
2025-04-07,375.96,402.00,365.74,380.90,3,060,100
2025-04-04,403.00,408.94,387.41,388.13,2,513,200
2025-04-03,417.68,421.13,404.08,417.76,2,133,600
2025-04-02,426.16,443.62,425.00,438.55,1,111,200
2025-04-01,430.11,436.72,423.17,435.94,985,800
2025-03-31,429.02,431.69,423.08,428.85,1,371,100
2025-03-28,446.92,448.05,437.06,437.95,941,500
2025-03-27,445.48,450.58,440.43,446.23,699,000
2025-03-26,454.35,460.44,447.11,449.90,749,100
2025-03-25,457.43,458.64,453.71,457.23,759,000
2025-03-24,456.82,464.22,455.54,457.77,974,200
2025-03-21,441.20,454.61,438.12,448.60,3,362,100
2025-03-20,446.89,453.93,443.19,449.99,810,200
2025-03-19,447.18,455.49,440.82,450.28,1,108,300
2025-03-18,448.81,454.59,445.02,447.99,1,020,100
2025-03-17,445.00,460.81,440.00,453.51,1,489,100
2025-03-14,433.05,447.98,433.05,446.23,1,118,100
2025-03-13,431.63,439.44,425.73,428.58,1,541,400
2025-03-12,442.23,449.74,431.85,432.46,1,900,100
2025-03-11,431.03,440.52,427.73,430.68,1,588,400
2025-03-10,437.40,441.58,427.30,429.85,1,713,700
2025-03-07,443.26,452.54,433.50,450.88,1,119,200
2025-03-06,439.00,450.36,435.84,445.73,1,524,700
2025-03-05,437.32,451.29,433.91,447.96,1,273,900
2025-03-04,440.37,451.97,429.77,445.47,1,641,100
2025-03-03,463.57,467.73,442.29,443.26,2,101,900
2025-02-28,462.29,463.48,448.11,457.28,1,581,700
2025-02-27,481.50,488.00,454.05,454.71,2,037,000
2025-02-26,465.00,476.71,462.25,470.46,1,540,300
2025-02-25,467.64,469.27,457.00,457.95,1,867,300
2025-02-24,479.28,481.13,465.00,470.08,1,374,000
2025-02-21,493.74,493.74,472.74,474.84,1,371,000
2025-02-20,502.41,505.17,493.48,493.97,1,270,900
2025-02-19,521.27,521.27,486.57,500.98,2,417,700
2025-02-18,527.96,528.00,516.07,525.00,1,118,700
2025-02-14,527.36,527.66,519.41,522.53,943,700
2025-02-13,509.71,529.37,508.31,528.29,1,049,100
2025-02-12,513.58,517.72,507.95,509.71,979,700
2025-02-11,526.81,530.03,524.58,529.14,431,600
2025-02-10,527.85,536.21,526.27,531.33,769,000
2025-02-07,536.00,545.65,522.00,525.82,703,100
2025-02-06,530.99,536.04,528.88,533.18,683,800
2025-02-05,524.57,529.64,515.79,528.42,547,500
2025-02-04,516.91,524.35,514.82,523.88,859,400
2025-02-03,511.69,526.11,510.00,520.25,765,400
2025-01-31,528.26,533.98,523.47,525.48,1,095,000
2025-01-30,515.90,528.15,515.74,526.36,741,000
2025-01-29,523.61,523.96,511.22,512.71,891,600
2025-01-28,510.20,527.84,504.00,526.12,1,606,500
2025-01-27,523.28,530.00,502.19,510.73,1,840,200
2025-01-24,552.89,553.27,542.15,546.19,880,500
2025-01-23,540.76,556.31,537.87,551.54,1,524,400
2025-01-22,531.21,547.40,531.21,544.70,1,091,600
2025-01-21,532.00,535.48,527.07,529.75,1,193,600
2025-01-17,529.23,529.95,523.88,526.70,1,240,500
2025-01-16,512.25,523.88,508.38,515.81,1,160,000
2025-01-15,501.46,510.95,501.28,507.19,1,129,200
2025-01-14,492.66,494.78,484.66,490.36,833,500
2025-01-13,489.08,493.40,485.21,487.43,891,300
2025-01-10,496.89,498.33,485.11,492.54,1,281,600
2025-01-08,491.42,502.79,490.41,502.00,1,266,800
2025-01-07,501.59,502.79,485.79,487.62,1,212,900
2025-01-06,499.66,509.09,498.22,501.06,881,400
2025-01-03,488.22,494.88,485.35,493.71,786,500
2025-01-02,494.04,494.53,479.00,482.75,807,900
2024-12-31,487.70,489.06,483.56,485.36,628,200
2024-12-30,485.99,491.56,478.84,486.74,658,000
2024-12-27,490.85,495.20,485.07,490.91,654,800
2024-12-26,495.15,500.83,494.76,495.82,542,100
2024-12-24,494.24,500.51,492.20,500.16,426,500
2024-12-23,493.92,507.95,488.66,492.58,1,126,900
2024-12-20,486.82,501.56,483.50,492.18,2,198,700
2024-12-19,502.39,509.98,493.01,493.35,1,132,700
2024-12-18,512.73,519.43,492.25,494.43,1,098,900
2024-12-17,520.35,524.73,510.98,511.87,1,444,700
2024-12-16,507.39,525.33,505.50,522.11,1,319,200
2024-12-13,507.75,516.00,499.25,508.28,1,215,100
2024-12-12,512.05,514.98,508.08,511.73,729,600
2024-12-11,511.35,515.87,509.36,512.06,1,005,100
2024-12-10,505.00,507.65,495.40,505.32,1,785,000
2024-12-09,515.29,517.71,504.80,508.49,1,896,000
2024-12-06,518.85,529.80,515.68,517.28,2,336,500
2024-12-05,544.52,558.87,513.09,515.29,5,081,500
2024-12-04,580.00,592.99,577.77,588.00,1,845,800
2024-12-03,560.36,570.79,559.21,570.19,765,400
2024-12-02,555.93,566.94,554.84,565.93,742,500
2024-11-29,548.14,565.27,547.17,558.49,598,600
2024-11-27,552.73,552.73,542.89,547.74,771,600
2024-11-26,562.65,562.81,549.58,553.95,767,700
2024-11-25,569.41,570.28,557.62,561.87,918,800
2024-11-22,557.88,568.41,555.81,565.07,900,000
2024-11-21,549.06,560.55,543.54,557.94,864,500
2024-11-20,535.85,542.16,528.60,541.56,734,400
2024-11-19,516.85,535.00,515.00,534.02,571,600
2024-11-18,523.68,530.98,518.92,523.98,895,100
2024-11-15,542.14,542.14,519.66,520.75,1,025,700
2024-11-14,555.18,557.41,541.66,548.31,795,900
2024-11-13,550.26,567.01,550.08,557.96,635,800
2024-11-12,551.30,555.87,548.74,553.47,607,200
2024-11-11,559.50,561.55,553.29,556.26,617,400
2024-11-08,573.84,573.84,559.90,561.55,967,100
2024-11-07,560.00,574.64,557.82,573.59,1,114,700
2024-11-06,536.40,554.84,534.29,553.15,1,318,600
2024-11-05,527.35,532.36,521.15,521.98,627,500
2024-11-04,521.60,527.25,516.98,524.52,583,000
2024-11-01,508.83,521.60,508.83,518.40,901,500
2024-10-31,531.97,531.97,512.83,513.61,1,211,100
2024-10-30,526.20,536.87,523.28,536.42,1,240,200
2024-10-29,511.00,531.38,509.35,529.21,1,266,900
2024-10-28,505.16,505.21,495.91,496.18,638,100
2024-10-25,500.22,508.36,498.63,501.58,639,700
2024-10-24,497.07,500.65,491.12,495.25,662,000
2024-10-23,498.14,502.42,489.77,493.41,653,300
2024-10-22,500.90,503.55,495.39,502.41,771,100
2024-10-21,501.93,507.50,501.12,505.59,820,300
2024-10-18,500.65,513.68,499.05,507.03,862,600
2024-10-17,511.24,514.72,501.50,504.69,1,124,600
2024-10-16,515.97,515.97,495.50,501.35,1,661,800
2024-10-15,548.30,550.59,515.69,517.56,1,493,500
2024-10-14,544.31,547.13,541.64,545.46,931,600
2024-10-11,531.98,541.23,530.00,539.92,825,900
2024-10-10,526.08,536.42,525.34,533.08,931,900
2024-10-09,517.37,530.40,516.39,529.00,936,200
2024-10-08,498.70,518.17,498.24,517.76,1,151,300
2024-10-07,493.00,497.14,489.45,494.87,826,400
2024-10-04,509.62,510.30,496.10,499.12,637,000
2024-10-03,490.58,499.15,490.58,495.41,865,200
2024-10-02,493.91,506.27,493.28,496.82,645,000
2024-10-01,507.54,508.36,490.56,495.56,1,117,100
2024-09-30,511.48,511.48,502.10,506.39,834,700
2024-09-27,519.14,519.14,509.08,513.31,528,300
2024-09-26,523.98,525.49,509.20,515.40,891,200
2024-09-25,506.02,511.79,503.82,510.36,838,200
2024-09-24,507.69,510.96,497.16,506.83,1,017,000
2024-09-23,507.41,509.92,505.29,505.79,731,900
2024-09-20,510.70,513.13,502.50,506.65,1,582,600
2024-09-19,517.18,521.43,510.69,514.12,1,269,300
2024-09-18,506.49,506.85,493.09,495.95,1,075,100
2024-09-17,505.86,507.60,496.27,502.25,1,424,600
2024-09-16,491.96,501.32,491.16,498.57,1,189,200
2024-09-13,488.95,494.77,485.00,490.07,955,200
2024-09-12,480.14,494.63,476.93,488.95,1,239,400
2024-09-11,466.49,482.54,460.13,481.50,1,617,000
2024-09-10,463.36,467.87,458.79,465.50,985,100
2024-09-09,466.53,467.16,457.52,464.16,1,954,900
2024-09-06,477.92,482.00,462.42,463.97,1,137,700
2024-09-05,475.06,484.08,469.58,476.03,1,234,300
2024-09-04,476.91,483.40,472.60,477.53,1,897,800
2024-09-03,514.15,514.40,479.09,481.22,2,562,000
2024-08-30,525.53,529.00,514.44,519.58,1,233,500
2024-08-29,514.92,526.43,513.43,517.02,932,400
2024-08-28,522.91,523.80,506.33,509.98,1,082,800
2024-08-27,521.93,529.54,518.07,521.78,1,462,200
2024-08-26,533.52,537.34,523.45,525.91,971,300
2024-08-23,558.88,558.88,538.12,539.39,1,053,700
2024-08-22,577.26,585.67,546.92,548.06,1,312,000
2024-08-21,559.57,568.44,556.68,564.68,867,800
2024-08-20,558.74,565.87,553.50,557.03,703,900
2024-08-19,549.00,558.78,544.82,558.22,741,100
2024-08-16,548.00,554.08,543.38,549.00,580,200
2024-08-15,541.68,549.29,538.50,548.28,622,200
2024-08-14,530.41,534.00,524.21,530.80,613,300
2024-08-13,530.00,534.38,526.14,528.64,780,500
2024-08-12,523.04,528.44,517.95,520.84,623,200
2024-08-09,512.28,526.32,512.28,524.73,852,900
2024-08-08,504.40,518.13,493.71,515.03,1,110,500
2024-08-07,513.20,520.98,488.45,489.97,1,901,700
2024-08-06,500.00,510.55,487.87,499.39,1,488,800
2024-08-05,475.00,495.00,474.57,487.84,2,050,300
2024-08-02,504.00,515.40,483.70,505.78,2,843,500
2024-08-01,556.04,569.00,534.02,540.67,1,370,800
2024-07-31,552.99,560.82,548.15,558.32,1,133,600
2024-07-30,551.56,552.08,522.19,525.89,1,253,200
2024-07-29,550.25,555.13,544.14,547.52,490,600
2024-07-26,548.36,555.42,543.37,546.38,677,500
2024-07-25,556.45,557.88,537.09,538.72,1,283,600
2024-07-24,576.02,583.10,551.12,553.33,1,033,200
2024-07-23,581.37,593.98,581.37,588.33,708,900
2024-07-22,573.00,589.05,571.44,587.71,1,079,900
2024-07-19,565.71,568.45,558.06,563.12,981,700
2024-07-18,576.30,576.30,546.86,560.38,1,204,100
2024-07-17,604.35,604.83,569.30,570.38,1,405,200
2024-07-16,619.39,620.43,609.18,613.01,473,400
2024-07-15,612.56,621.24,612.38,616.01,494,200
2024-07-12,606.85,620.33,604.62,614.05,505,000
2024-07-11,620.00,624.80,606.98,608.74,553,500
2024-07-10,609.15,621.01,603.12,619.56,691,400
2024-07-09,616.40,616.55,603.34,607.94,466,500
2024-07-08,621.65,622.00,611.41,615.49,559,600
2024-07-05,611.90,622.79,609.05,621.30,946,200
2024-07-03,609.00,612.90,606.04,606.99,491,500
2024-07-02,601.42,610.64,600.57,609.66,531,400
2024-07-01,594.79,604.44,588.83,601.75,613,100
2024-06-28,596.82,608.16,593.90,595.06,1,019,100
2024-06-27,600.31,606.41,593.89,595.00,594,400
2024-06-26,597.44,601.79,594.26,598.52,559,100
2024-06-25,597.69,600.51,593.67,600.14,763,800
2024-06-24,599.26,603.20,595.50,595.60,899,000
2024-06-21,613.60,613.60,599.67,605.53,1,670,900
2024-06-20,622.93,622.99,607.27,610.18,1,156,800
2024-06-18,611.41,620.59,607.31,620.31,1,040,900
2024-06-17,591.00,614.95,587.57,612.72,1,203,400
2024-06-14,586.91,590.63,584.89,590.21,600,600
2024-06-13,585.88,596.98,585.36,586.54,568,400
2024-06-12,584.75,593.36,582.90,590.89,691,600
2024-06-11,573.68,580.64,569.69,579.91,667,900
2024-06-10,566.97,576.39,566.24,576.18,586,200
2024-06-07,577.75,578.04,569.78,571.45,423,600
2024-06-06,590.73,592.83,569.29,573.85,1,080,100
2024-06-05,565.31,588.32,562.83,588.14,1,147,700
2024-06-04,559.55,563.25,553.18,561.73,885,400
2024-06-03,564.98,566.87,549.97,561.18,934,200
2024-05-31,562.08,564.00,545.01,560.80,1,903,200
2024-05-30,573.82,577.91,563.90,564.73,1,152,700
2024-05-29,580.58,586.35,576.60,580.21,991,900
2024-05-28,581.38,592.35,581.24,587.94,890,600
2024-05-24,582.90,594.61,580.00,587.40,725,600
2024-05-23,582.10,605.45,568.46,586.30,1,735,100
2024-05-22,574.99,581.63,569.93,573.13,1,018,700
2024-05-21,573.66,574.00,566.82,571.53,579,500
2024-05-20,566.73,574.77,565.18,574.38,495,100
2024-05-17,571.14,572.55,563.55,566.73,560,900
2024-05-16,581.00,581.82,568.58,569.27,665,900
2024-05-15,565.80,582.97,564.88,580.20,968,200
2024-05-14,552.88,560.35,552.76,559.63,500,800
2024-05-13,561.37,561.37,553.62,557.39,547,900
2024-05-10,551.66,562.93,551.01,556.71,587,800
2024-05-09,551.42,552.54,546.42,549.88,410,000
2024-05-08,546.00,552.18,545.35,550.49,536,800
2024-05-07,548.11,556.56,542.73,549.61,759,200
2024-05-06,539.33,546.61,537.02,545.54,674,800
2024-05-03,528.78,540.40,528.50,536.94,855,800
2024-05-02,524.36,527.14,512.12,523.38,1,087,200
2024-05-01,528.17,534.05,519.62,522.18,747,100
2024-04-30,542.55,543.96,530.59,530.59,741,300
2024-04-29,545.15,548.83,540.53,544.76,647,500
2024-04-26,529.48,548.77,529.48,543.66,997,600
2024-04-25,523.26,534.14,518.80,530.11,924,800
2024-04-24,533.19,540.73,527.28,527.52,1,431,000
2024-04-23,510.77,531.73,510.77,527.50,1,487,500
2024-04-22,513.08,518.77,510.75,515.49,974,800
2024-04-19,518.90,522.62,508.19,510.71,1,192,600
2024-04-18,529.39,530.00,517.06,519.71,1,177,600
2024-04-17,542.16,546.67,525.77,527.58,1,120,900
2024-04-16,542.45,544.56,539.18,541.09,897,500
2024-04-15,567.91,567.91,541.39,543.91,941,800
2024-04-12,553.27,560.52,550.19,557.16,810,700
2024-04-11,560.46,563.73,554.38,561.97,914,400
2024-04-10,559.69,564.00,557.40,561.23,780,000
2024-04-09,582.49,583.24,567.15,568.99,1,038,400
2024-04-08,575.40,577.87,566.46,576.36,605,600
2024-04-05,571.02,578.90,570.08,575.45,774,100
2024-04-04,590.00,592.71,567.02,567.11,983,000
2024-04-03,565.98,580.83,565.98,578.87,758,800
2024-04-02,567.00,571.91,563.63,569.82,739,500
2024-04-01,578.07,582.67,571.72,576.89,609,100
2024-03-28,576.12,577.00,570.00,571.50,999,100
2024-03-27,587.64,588.12,570.51,573.35,871,300
2024-03-26,584.88,591.27,584.00,584.32,1,024,000
2024-03-25,586.90,588.13,580.65,584.32,1,328,000
2024-03-22,601.00,604.91,588.28,594.20,1,242,500
2024-03-21,600.00,616.54,593.00,602.01,1,814,000
2024-03-20,592.49,598.00,581.06,589.78,1,135,000
2024-03-19,572.18,585.74,562.00,584.71,1,557,500
2024-03-18,558.59,565.95,555.12,560.63,1,085,400
2024-03-15,557.37,562.00,546.91,550.03,1,348,300
2024-03-14,563.18,567.17,554.51,559.31,732,600
2024-03-13,569.58,570.37,556.67,561.20,894,200
2024-03-12,568.49,577.19,564.01,576.72,622,700
2024-03-11,562.99,567.72,555.49,565.32,656,400
2024-03-08,585.26,586.26,569.56,571.29,724,700
2024-03-07,583.19,588.13,577.91,583.35,756,000
2024-03-06,574.91,582.52,567.01,575.97,787,800
2024-03-05,589.11,591.23,560.50,565.26,977,100
2024-03-04,597.76,604.35,591.30,594.32,1,063,600
2024-03-01,572.56,592.90,572.56,591.35,962,800
2024-02-29,575.55,579.44,571.00,573.73,993,700
2024-02-28,570.95,572.79,566.20,570.28,589,300
2024-02-27,577.30,578.10,567.38,574.00,731,100
2024-02-26,579.68,581.49,571.01,575.70,1,034,000
2024-02-23,583.95,585.01,570.75,575.65,1,210,800
2024-02-22,589.99,629.38,579.11,580.90,3,322,400
2024-02-21,539.00,544.87,527.03,543.57,1,827,800
2024-02-20,551.50,555.00,538.72,547.98,1,115,700
2024-02-16,559.95,563.87,550.98,552.91,896,100
2024-02-15,567.14,568.60,556.90,557.83,858,000
2024-02-14,554.59,562.89,554.45,562.73,929,400
2024-02-13,549.07,554.66,538.00,548.53,1,477,900
2024-02-12,576.00,577.96,565.37,568.93,813,300
2024-02-09,574.34,582.85,571.32,575.30,999,900
2024-02-08,563.25,573.58,562.00,570.69,1,513,600
2024-02-07,546.00,559.27,546.00,554.28,1,044,600
2024-02-06,561.27,563.59,534.21,542.43,1,341,800
2024-02-05,555.01,561.68,550.30,559.14,1,237,100
2024-02-02,541.18,552.41,541.18,552.05,1,274,100
2024-02-01,534.00,542.22,531.01,540.00,974,200
2024-01-31,538.00,539.24,531.13,533.35,1,439,900
2024-01-30,539.90,543.64,536.62,543.18,1,013,500
2024-01-29,529.41,540.35,528.91,539.90,1,074,200
2024-01-26,530.80,532.86,525.42,528.13,1,028,100
2024-01-25,545.00,546.20,533.63,536.68,1,258,700
2024-01-24,552.48,554.57,538.89,540.46,1,375,800
2024-01-23,545.64,549.32,537.75,548.90,1,860,700
2024-01-22,524.15,542.50,523.00,541.71,3,231,500
2024-01-19,498.00,517.70,496.13,517.31,2,696,500
2024-01-18,511.27,515.00,491.58,494.34,2,753,100
2024-01-17,511.98,514.25,496.03,507.87,1,821,400
2024-01-16,501.52,517.25,499.78,509.68,3,495,800
2024-01-12,501.30,502.68,493.19,494.40,1,107,600
2024-01-11,507.50,509.74,493.18,498.46,1,483,800
2024-01-10,503.82,509.00,501.45,505.18,1,277,600
2024-01-09,495.00,503.84,495.00,501.87,1,171,500
2024-01-08,490.39,500.39,488.06,499.98,1,829,000
2024-01-05,492.03,496.15,477.65,484.81,3,014,100
2024-01-04,489.75,494.39,488.43,490.18,884,200
2024-01-03,496.46,496.61,489.41,492.40,1,205,300
2024-01-02,507.95,509.50,496.81,498.97,1,277,700
2023-12-29,516.62,518.39,510.74,514.91,769,200
2023-12-28,520.00,521.00,515.18,517.41,852,000
2023-12-27,523.00,524.99,516.61,518.10,1,107,200
2023-12-26,530.00,534.58,519.16,520.25,2,096,700
2023-12-22,562.00,562.05,523.00,524.46,2,971,200
2023-12-21,557.27,562.42,555.91,559.96,636,800
2023-12-20,557.27,563.32,551.57,551.72,694,600
2023-12-19,563.39,565.64,555.58,558.65,794,900
2023-12-18,557.46,563.42,555.00,559.69,645,600
2023-12-15,548.93,558.18,548.09,556.27,2,477,000
2023-12-14,570.60,571.87,549.02,551.45,1,747,600
2023-12-13,571.69,573.77,561.96,568.09,782,900
2023-12-12,557.74,568.33,555.55,567.06,788,600
2023-12-11,540.00,557.42,538.65,556.02,898,900
2023-12-08,531.63,539.69,531.63,535.93,569,200
2023-12-07,531.30,535.08,528.97,534.15,557,200
2023-12-06,538.66,540.19,526.50,527.49,688,000
2023-12-05,525.36,535.95,523.60,535.71,879,800
2023-12-04,540.15,542.41,522.92,531.20,1,061,500
2023-12-01,543.56,548.19,539.28,545.96,876,600
2023-11-30,558.47,564.78,530.50,543.23,2,185,900
2023-11-29,550.59,557.00,549.38,552.46,1,123,700
2023-11-28,542.04,544.48,539.15,543.73,880,800
2023-11-27,545.90,549.67,539.48,543.53,997,200
2023-11-24,538.43,543.42,537.94,542.69,243,300
2023-11-22,542.22,549.00,540.70,541.03,600,300
2023-11-21,542.18,545.57,535.70,540.38,683,700
2023-11-20,536.92,544.72,535.30,541.52,698,100
2023-11-17,534.21,539.84,531.89,534.78,599,900
2023-11-16,530.34,537.78,528.48,533.45,816,400
2023-11-15,540.55,541.84,524.51,529.32,1,284,400
2023-11-14,531.33,538.82,525.23,538.32,784,900
2023-11-13,516.23,524.81,514.45,522.88,713,200
2023-11-10,511.07,520.51,507.86,518.83,1,109,200
2023-11-09,505.81,513.00,504.16,505.17,789,000
2023-11-08,500.00,506.90,499.64,506.16,791,500
2023-11-07,494.01,500.58,490.12,499.02,662,400
2023-11-06,487.95,490.34,484.90,489.94,651,500
2023-11-03,482.46,492.24,480.62,487.94,710,600
2023-11-02,480.36,482.54,472.10,478.64,1,001,500
2023-11-01,470.70,477.80,468.00,475.38,939,000
2023-10-31,464.32,472.29,459.08,469.44,729,700
2023-10-30,460.27,462.74,455.00,460.94,697,800
2023-10-27,457.63,460.15,453.38,457.00,559,700
2023-10-26,458.42,460.59,448.91,453.54,630,200
2023-10-25,467.61,468.24,454.27,455.26,853,600
2023-10-24,466.48,474.40,463.49,468.03,642,900
2023-10-23,466.00,473.56,461.45,467.82,764,300
2023-10-20,482.37,482.43,466.35,467.64,1,002,000
2023-10-19,488.51,492.33,481.35,482.37,642,400
2023-10-18,490.53,493.06,483.96,485.73,605,200
2023-10-17,486.98,494.23,481.87,492.05,664,600
2023-10-16,490.50,495.41,487.76,491.96,610,900
2023-10-13,496.45,498.42,486.14,489.67,747,900
2023-10-12,497.81,502.66,491.96,496.23,967,800
2023-10-11,490.28,495.44,489.56,494.95,707,900
2023-10-10,483.11,493.92,480.17,490.11,1,267,700
2023-10-09,468.00,482.47,464.38,479.92,868,400
2023-10-06,455.52,476.99,454.60,473.26,905,100
2023-10-05,462.11,463.90,452.27,459.75,550,200
2023-10-04,452.56,463.89,452.55,461.32,600,900
2023-10-03,460.90,465.76,448.26,450.72,884,900
2023-10-02,461.19,465.26,456.76,463.82,734,100
2023-09-29,468.03,471.94,458.37,458.97,1,189,600
2023-09-28,446.63,463.24,445.07,460.71,1,114,100
2023-09-27,447.99,450.32,442.00,446.71,623,400
2023-09-26,446.54,446.54,440.62,444.35,724,000
2023-09-25,445.80,449.31,442.70,447.83,360,900
2023-09-22,446.22,454.47,446.18,446.85,577,600
2023-09-21,448.58,450.95,444.01,444.27,762,900
2023-09-20,461.00,463.54,453.02,453.28,668,400
2023-09-19,458.89,460.44,453.19,460.02,586,700
2023-09-18,450.19,460.26,448.82,460.01,621,000
2023-09-15,466.60,467.50,447.98,451.93,1,681,000
2023-09-14,469.38,469.70,460.60,466.15,920,300
2023-09-13,453.34,469.00,453.34,466.86,925,300
2023-09-12,456.80,460.44,454.02,454.36,909,900
2023-09-11,459.78,463.64,453.36,461.82,608,800
2023-09-08,456.94,460.39,454.39,459.14,830,000
2023-09-07,465.07,468.01,451.09,458.09,986,400
