Date,Open,High,Low,Close,Volume
2025-09-03,340.88,347.43,340.57,347.32,1,141,100
2025-09-02,343.95,346.86,340.67,342.81,1,202,500
2025-08-29,353.60,355.23,346.19,350.43,1,304,300
2025-08-28,347.72,355.49,347.72,354.29,1,081,300
2025-08-27,345.00,347.68,343.11,346.88,1,069,800
2025-08-26,344.14,345.56,343.14,344.03,1,718,600
2025-08-25,347.00,349.05,344.66,345.19,1,022,400
2025-08-22,348.54,354.96,346.79,349.63,1,198,300
2025-08-21,343.46,348.84,343.46,347.57,1,038,000
2025-08-20,346.20,346.44,339.62,345.45,1,779,500
2025-08-19,354.00,355.50,346.06,346.88,1,825,300
2025-08-18,349.29,356.91,348.06,356.25,1,496,100
2025-08-15,349.05,351.03,344.79,349.88,1,567,700
2025-08-14,348.33,350.00,346.28,348.92,1,220,400
2025-08-13,356.04,356.40,346.09,349.12,1,208,400
2025-08-12,349.09,353.66,345.48,353.61,1,263,000
2025-08-11,352.08,354.16,346.77,349.09,1,624,500
2025-08-08,356.43,357.59,351.50,352.06,1,373,000
2025-08-07,363.02,365.40,349.66,354.33,1,526,600
2025-08-06,361.86,364.07,358.70,360.16,1,058,800
2025-08-05,366.20,369.14,357.70,360.50,1,682,100
2025-08-04,358.78,364.89,355.63,364.88,1,841,900
2025-08-01,358.00,360.31,353.01,356.97,2,070,000
2025-07-31,371.52,376.45,363.47,364.57,3,012,700
2025-07-30,367.49,374.05,363.75,371.03,3,894,000
2025-07-29,355.00,370.61,353.00,366.26,4,666,700
2025-07-28,334.48,335.00,328.46,333.76,2,682,400
2025-07-25,325.00,335.16,324.50,332.19,2,718,300
2025-07-24,325.56,327.50,324.37,324.64,1,649,500
2025-07-23,320.48,326.52,318.49,326.46,1,523,600
2025-07-22,317.54,321.69,313.00,319.60,1,211,400
2025-07-21,315.04,318.83,315.04,316.32,1,042,100
2025-07-18,321.37,322.15,315.04,315.57,1,390,900
2025-07-17,313.08,321.23,311.45,320.86,1,275,800
2025-07-16,318.70,318.70,311.08,314.58,1,595,700
2025-07-15,319.84,324.49,317.67,318.04,1,447,200
2025-07-14,320.13,320.97,314.70,317.49,1,863,100
2025-07-11,321.57,324.32,318.16,320.60,1,201,500
2025-07-10,325.26,325.26,318.20,322.66,1,463,700
2025-07-09,324.14,325.54,320.54,322.91,1,092,100
2025-07-08,322.12,323.71,319.02,323.28,2,022,900
2025-07-07,326.81,327.98,318.80,320.30,1,824,300
2025-07-03,326.47,330.09,321.38,326.81,2,274,700
2025-07-02,307.23,312.75,306.00,310.95,1,164,600
2025-07-01,306.35,310.99,304.73,309.46,1,332,100
2025-06-30,306.12,310.12,305.21,308.15,1,748,300
2025-06-27,307.03,315.90,304.29,305.20,2,331,800
2025-06-26,299.00,303.87,298.33,303.69,2,128,200
2025-06-25,297.83,301.26,295.33,297.53,1,736,800
2025-06-24,295.85,297.14,293.61,296.80,1,906,300
2025-06-23,294.33,295.82,289.69,293.56,2,134,500
2025-06-20,299.63,300.76,293.84,295.40,2,373,300
2025-06-18,297.78,300.10,295.61,296.84,1,221,000
2025-06-17,299.79,304.44,298.13,299.00,1,130,400
2025-06-16,300.69,302.40,297.03,300.81,1,697,100
2025-06-13,302.00,305.30,299.62,300.00,1,188,800
2025-06-12,306.40,310.00,306.10,307.85,1,012,800
2025-06-11,306.00,309.39,302.45,307.20,1,259,400
2025-06-10,302.41,306.08,300.46,305.69,1,603,300
2025-06-09,307.58,310.95,301.52,301.66,2,517,000
2025-06-06,299.34,299.64,295.65,296.95,1,365,700
2025-06-05,294.40,302.00,294.40,296.29,1,904,400
2025-06-04,293.91,296.09,291.62,294.40,1,430,300
2025-06-03,289.12,294.81,289.12,293.33,1,617,400
2025-06-02,286.76,292.87,285.48,292.53,1,993,100
2025-05-30,284.43,288.21,280.34,287.07,2,901,700
2025-05-29,293.11,294.13,276.61,284.50,6,281,800
2025-05-28,322.87,323.39,284.30,288.61,7,018,700
2025-05-27,319.46,323.28,318.10,323.08,1,446,700
2025-05-23,312.04,317.28,311.65,315.51,1,010,500
2025-05-22,315.51,318.60,313.91,316.63,1,480,800
2025-05-21,317.37,322.64,316.31,317.55,1,869,500
2025-05-20,316.96,321.00,315.36,320.55,1,374,200
2025-05-19,318.77,322.27,317.41,320.30,1,510,700
2025-05-16,320.16,322.19,317.18,321.56,1,575,100
2025-05-15,318.36,321.87,317.74,318.77,1,535,400
2025-05-14,316.95,321.86,316.79,319.39,1,463,300
2025-05-13,312.42,319.57,311.57,318.66,1,707,200
2025-05-12,320.00,320.00,308.58,311.77,2,439,800
2025-05-09,309.53,309.53,303.82,305.78,1,480,000
2025-05-08,311.22,313.00,307.70,307.96,1,609,500
2025-05-07,306.15,310.88,304.77,308.34,1,774,300
2025-05-06,302.89,308.65,302.29,305.78,1,643,000
2025-05-05,307.00,311.98,305.60,308.83,1,794,200
2025-05-02,305.27,310.58,304.19,308.15,1,935,500
2025-05-01,301.74,304.70,299.41,299.73,2,304,200
2025-04-30,294.51,299.98,293.85,297.74,2,780,600
2025-04-29,289.64,303.60,289.64,302.22,3,815,600
2025-04-28,288.02,289.41,281.70,285.74,3,416,100
2025-04-25,279.99,290.50,279.45,289.63,2,414,000
2025-04-24,270.31,283.00,270.00,281.78,2,177,700
2025-04-23,266.78,272.81,264.79,265.42,1,708,400
2025-04-22,255.23,260.67,251.95,258.15,1,389,100
2025-04-21,257.02,257.16,247.70,251.56,1,494,800
2025-04-17,262.79,263.16,257.88,260.22,1,914,600
2025-04-16,256.51,262.08,254.48,259.26,2,170,800
2025-04-15,262.00,266.08,260.80,264.31,1,857,200
2025-04-14,264.60,265.59,257.65,260.56,1,453,800
2025-04-11,253.52,260.42,248.55,259.47,1,647,500
2025-04-10,256.88,258.55,244.99,254.02,2,603,500
2025-04-09,230.70,266.65,229.60,264.65,4,256,800
2025-04-08,237.81,244.30,228.20,231.64,2,654,500
2025-04-07,229.65,245.66,221.56,233.82,4,174,300
2025-04-04,243.53,246.22,232.37,232.88,4,203,200
2025-04-03,252.34,255.19,245.42,248.91,2,995,200
2025-04-02,253.52,265.73,253.44,264.94,1,859,500
2025-04-01,252.64,259.48,251.82,258.79,1,421,500
2025-03-31,253.09,254.97,248.52,254.33,2,259,500
2025-03-28,262.31,263.24,255.87,256.69,1,248,900
2025-03-27,261.98,263.98,258.21,262.54,1,349,800
2025-03-26,269.30,269.30,262.52,263.41,1,394,900
2025-03-25,267.15,269.71,265.97,269.11,1,253,600
2025-03-24,266.00,268.24,264.00,267.15,2,526,000
2025-03-21,254.91,266.95,252.06,262.42,5,699,800
2025-03-20,255.93,259.86,254.88,258.50,1,722,700
2025-03-19,255.00,262.14,254.08,258.70,2,735,900
2025-03-18,252.04,255.99,251.35,253.88,1,772,700
2025-03-17,246.25,258.14,246.25,255.11,2,772,700
2025-03-14,241.68,248.00,241.46,247.43,2,271,100
2025-03-13,240.76,247.20,239.80,241.56,2,166,400
2025-03-12,240.15,244.99,239.14,239.22,2,368,000
