Date,Open,High,Low,Close,Adj Close,Volume
2025-03-21,166.29,166.64,164.51,165.57,164.39,2,060,900
2025-03-20,171.40,172.00,167.63,168.09,166.89,1,574,200
2025-03-19,172.08,174.36,170.08,172.84,171.61,1,192,500
2025-03-18,170.32,171.58,169.72,170.76,169.54,947,700
2025-03-17,165.78,172.69,165.78,170.63,169.41,1,401,500
2025-03-14,165.42,167.33,164.74,167.00,165.81,821,100
2025-03-13,166.65,168.02,162.84,163.50,162.33,1,087,300
2025-03-12,166.48,168.77,164.70,166.66,165.47,1,546,700
2025-03-11,169.51,170.66,164.96,166.05,164.86,1,583,400
2025-03-10,167.91,171.34,167.13,169.51,168.30,1,755,100
2025-03-07,167.26,168.78,164.98,168.37,167.17,2,348,900
2025-03-06,171.28,172.82,167.12,167.26,166.07,1,556,500
2025-03-05,171.36,173.55,168.89,172.59,171.36,1,017,000
2025-03-04,171.62,174.10,170.09,171.32,170.10,1,361,800
2025-03-03,179.60,179.60,171.64,172.50,171.27,1,448,200
2025-02-28,179.00,179.86,175.14,178.20,176.93,1,682,100
2025-02-27,180.18,181.58,178.56,179.00,177.72,1,355,800
2025-02-26,183.01,183.59,179.45,180.23,178.94,769,600
2025-02-25,185.24,187.20,182.39,182.58,181.28,1,304,000
2025-02-24,186.89,188.41,185.12,186.69,184.74,1,291,900
2025-02-21,192.47,192.82,186.31,186.50,184.55,995,200
2025-02-20,194.95,194.99,192.18,192.80,190.78,915,200
2025-02-19,191.49,194.73,190.87,194.50,192.47,966,300
2025-02-18,190.28,192.64,188.00,192.46,190.45,1,234,900
2025-02-14,188.02,191.81,187.21,189.39,187.41,1,734,000
2025-02-13,188.97,189.77,187.57,187.59,185.63,1,120,600
2025-02-12,189.41,190.74,187.85,188.94,186.96,884,200
2025-02-11,190.06,192.90,190.06,191.74,189.73,797,100
2025-02-10,194.02,194.02,189.58,191.57,189.57,1,280,400
2025-02-07,199.77,200.28,191.15,192.02,190.01,1,470,600
2025-02-06,204.81,205.00,198.17,199.86,197.77,1,967,800
2025-02-05,222.91,222.92,203.51,206.13,203.97,3,808,800
2025-02-04,195.99,200.65,195.75,199.34,197.25,2,050,300
2025-02-03,196.28,200.27,194.27,198.44,196.36,1,764,300
2025-01-31,197.70,200.89,197.70,199.14,197.06,1,573,700
2025-01-30,198.49,199.01,196.75,197.76,195.69,1,153,000
2025-01-29,195.28,195.87,193.81,195.53,193.48,891,000
2025-01-28,194.04,194.94,191.74,194.76,192.72,1,378,200
2025-01-27,191.89,194.48,190.99,194.04,192.01,1,134,900
2025-01-24,198.06,198.47,194.89,195.13,193.09,940,600
2025-01-23,193.69,198.11,192.51,197.49,195.42,1,319,100
2025-01-22,191.55,194.88,191.54,194.30,192.27,934,800
2025-01-21,189.89,192.54,189.10,191.59,189.59,910,300
2025-01-17,190.41,190.41,187.08,188.73,186.76,963,400
2025-01-16,187.09,188.86,185.02,187.79,185.83,952,000
2025-01-15,189.21,191.19,186.61,187.46,185.50,2,214,200
2025-01-14,181.96,187.80,180.70,186.56,184.61,1,947,800
2025-01-13,182.15,182.27,178.98,180.92,179.03,1,162,900
2025-01-10,179.47,183.74,178.61,183.14,181.22,1,784,000
2025-01-08,179.97,181.64,176.04,181.34,179.44,1,473,800
2025-01-07,179.58,183.77,179.58,180.98,179.09,1,626,100
2025-01-06,174.90,180.56,174.90,179.29,177.41,1,518,700
2025-01-03,171.29,174.62,170.10,174.23,172.41,947,600
2025-01-02,174.53,175.44,168.43,170.03,168.25,996,400
2024-12-31,174.56,175.63,173.16,174.04,172.22,711,700
2024-12-30,174.59,174.59,171.04,173.35,171.54,776,800
2024-12-27,176.55,177.69,174.77,175.81,173.97,639,300
2024-12-26,174.29,177.42,174.29,177.12,175.27,944,400
2024-12-24,175.50,176.38,174.23,176.34,174.50,341,000
2024-12-23,173.80,175.73,173.54,175.56,173.72,854,900
2024-12-20,172.05,176.12,172.05,174.53,172.70,2,590,500
2024-12-19,171.50,174.57,171.20,173.28,171.47,1,279,300
2024-12-18,177.14,178.01,170.68,171.49,169.70,1,310,800
2024-12-17,177.97,179.31,174.66,176.66,174.81,1,443,200
2024-12-16,175.89,180.92,175.00,177.79,175.93,1,197,400
2024-12-13,177.20,177.53,175.49,176.06,174.22,1,392,700
2024-12-12,177.45,179.51,176.15,178.05,176.19,954,800
2024-12-11,180.25,180.41,175.99,178.25,176.39,1,413,400
2024-12-10,181.88,182.12,176.87,179.01,177.14,1,448,500
2024-12-09,180.67,183.12,179.91,182.46,180.55,1,721,100
2024-12-06,179.43,180.77,178.32,180.06,178.18,970,600
2024-12-05,178.80,179.58,177.22,178.30,176.43,1,366,100
2024-12-04,180.51,180.78,177.69,178.28,176.41,826,400
2024-12-03,179.70,180.34,177.05,179.63,177.75,1,264,000
2024-12-02,175.79,181.11,175.57,180.62,178.73,1,618,200
2024-11-29,177.28,178.16,175.81,175.93,174.09,958,000
2024-11-27,177.51,179.07,175.76,176.75,174.90,1,655,700
2024-11-26,180.74,181.73,177.36,177.80,175.94,1,792,800
