Date,Open,High,Low,Close,Adj Close,Volume
2023-12-05,212.00,212.11,208.97,210.41,205.86,481,400
2023-12-04,210.87,213.44,210.60,212.60,208.00,601,100
2023-12-01,210.71,212.77,208.30,212.56,207.97,873,700
2023-11-30,211.99,212.58,208.79,210.88,206.32,2,377,000
2023-11-29,214.46,215.60,211.81,212.09,207.51,647,600
2023-11-28,213.83,215.32,212.63,212.68,208.08,585,300
2023-11-27,216.26,217.16,214.80,214.90,210.25,787,900
2023-11-24,217.76,217.76,214.90,216.69,212.01,246,100
2023-11-22,216.90,218.56,215.83,217.02,212.33,655,000
2023-11-21,216.97,217.98,216.02,216.84,211.55,708,100
2023-11-20,215.01,217.37,213.02,217.24,211.94,922,900
2023-11-17,216.97,218.03,213.44,215.29,210.03,960,000
2023-11-16,217.40,219.19,214.71,215.51,210.25,703,300
2023-11-15,219.30,219.71,217.08,218.92,213.58,677,500
2023-11-14,214.75,218.86,214.73,218.46,213.13,655,000
2023-11-13,211.24,212.72,210.13,211.97,206.80,485,500
2023-11-10,209.50,211.75,207.80,211.67,206.50,546,400
2023-11-09,210.88,211.00,207.77,208.50,203.41,763,400
2023-11-08,208.87,209.53,207.28,209.28,204.17,479,200
2023-11-07,211.20,211.97,206.67,208.00,202.92,691,800
2023-11-06,209.88,211.20,208.69,211.04,205.89,513,300
2023-11-03,208.39,210.58,208.39,209.46,204.35,586,200
2023-11-02,200.21,207.06,200.12,206.67,201.62,801,100
2023-11-01,185.55,199.20,185.04,199.16,194.30,939,400
2023-10-31,198.10,200.79,197.04,200.40,195.51,791,200
2023-10-30,199.59,200.15,194.84,197.05,192.24,1,088,700
2023-10-27,197.65,199.84,196.69,198.90,194.04,645,900
2023-10-26,198.50,200.22,198.06,198.42,193.58,589,800
2023-10-25,199.42,202.52,198.03,198.70,193.85,548,600
2023-10-24,200.19,201.88,197.99,199.89,195.01,569,500
2023-10-23,199.26,201.35,197.99,199.55,194.68,555,500
2023-10-20,202.99,202.99,200.17,200.42,195.53,522,100
2023-10-19,206.73,207.19,202.35,202.85,197.90,563,600
2023-10-18,208.35,208.35,206.00,206.16,201.13,464,800
2023-10-17,207.78,210.87,207.09,208.90,203.80,481,700
2023-10-16,207.55,210.02,207.29,208.82,203.72,520,200
2023-10-13,211.23,211.58,205.70,207.26,202.20,937,100
2023-10-12,215.33,215.81,210.73,211.58,206.41,649,700
2023-10-11,211.15,213.95,211.15,213.82,208.60,521,700
2023-10-10,208.30,211.53,208.16,210.15,205.02,548,100
2023-10-09,205.03,208.58,204.99,208.12,203.04,401,600
2023-10-06,202.57,206.68,202.57,205.63,200.61,1,065,400
2023-10-05,204.52,206.06,202.00,203.04,198.08,627,700
2023-10-04,202.28,205.93,202.20,205.42,200.40,704,600
2023-10-03,204.00,208.78,201.07,201.77,196.84,979,400
2023-10-02,201.76,202.50,199.09,200.98,196.07,935,400
2023-09-29,203.00,203.71,200.62,201.76,196.83,803,300
2023-09-28,198.94,203.71,198.94,202.88,197.93,763,500
2023-09-27,200.38,200.88,197.28,198.69,193.84,724,800
2023-09-26,203.24,203.48,199.08,200.24,195.35,814,800
2023-09-25,204.84,206.77,203.93,205.00,200.00,429,400
2023-09-22,204.92,207.03,204.92,205.76,200.74,414,000
2023-09-21,207.54,207.95,203.49,205.04,200.03,437,400
2023-09-20,208.49,209.68,207.75,209.00,203.90,610,700
2023-09-19,208.69,209.01,206.89,208.67,203.58,337,500
2023-09-18,206.90,209.97,206.90,208.69,203.60,503,500
2023-09-15,209.87,210.02,206.13,207.00,201.95,1,189,700
2023-09-14,209.49,210.22,207.00,209.79,204.67,653,000
2023-09-13,208.85,209.54,205.52,208.33,203.24,877,800
2023-09-12,209.98,211.06,208.24,208.94,203.84,474,800
2023-09-11,213.47,213.72,209.56,211.22,206.06,415,500
2023-09-08,213.52,215.70,211.94,212.67,207.48,475,300
2023-09-07,212.63,214.58,212.08,212.90,207.70,947,600
2023-09-06,212.00,213.52,209.90,213.28,208.07,548,100
2023-09-05,213.47,214.90,212.51,212.64,207.45,619,000
2023-09-01,212.50,214.28,212.07,213.18,207.98,486,500
2023-08-31,209.20,212.41,209.20,211.15,206.00,784,600
2023-08-30,207.38,208.53,207.09,208.11,203.03,487,600
2023-08-29,206.85,208.73,206.31,207.54,202.47,431,300
2023-08-28,204.62,207.06,204.12,206.85,201.80,338,100
2023-08-25,202.93,204.58,201.12,204.00,199.02,300,300
2023-08-24,205.20,205.71,201.21,201.28,196.37,360,900
2023-08-23,203.05,205.27,202.46,204.83,199.25,473,600
2023-08-22,202.15,203.55,201.98,202.88,197.36,593,000
2023-08-21,200.65,201.98,199.76,201.42,195.94,350,600
2023-08-18,196.32,200.92,196.32,200.30,194.85,350,500
2023-08-17,202.49,203.54,200.25,200.32,194.87,339,400
2023-08-16,204.68,206.25,201.37,201.54,196.05,426,200
2023-08-15,206.14,206.27,204.51,204.68,199.11,523,200
2023-08-14,204.06,207.26,203.72,206.62,201.00,514,500
2023-08-11,202.31,204.68,202.31,203.48,197.94,463,500
2023-08-10,201.95,205.13,201.55,202.66,197.14,588,800
2023-08-09,203.10,203.28,200.91,201.59,196.10,489,600
2023-08-08,202.29,203.02,200.16,202.68,197.16,433,800
2023-08-07,201.00,203.64,199.44,202.84,197.32,839,400
2023-08-04,198.71,202.53,197.58,197.87,192.48,721,100
2023-08-03,195.56,199.90,193.27,199.28,193.85,920,100
2023-08-02,187.39,201.12,185.14,197.00,191.64,2,036,600
2023-08-01,187.07,188.71,186.13,187.33,182.23,1,056,000
2023-07-31,186.22,187.15,184.99,187.07,181.98,1,100,500
2023-07-28,189.48,189.59,185.44,186.28,181.21,593,500
2023-07-27,190.81,191.33,187.78,188.07,182.95,462,800
2023-07-26,190.58,191.57,189.02,189.63,184.47,428,800
2023-07-25,190.00,191.53,189.06,190.94,185.74,441,700
2023-07-24,189.61,190.92,188.72,189.99,184.82,461,900
2023-07-21,189.84,190.08,188.36,188.52,183.39,478,000
2023-07-20,189.75,190.24,187.68,188.41,183.28,485,800
2023-07-19,189.04,190.62,188.92,189.75,184.58,484,500
2023-07-18,188.75,190.43,187.42,188.24,183.12,583,300
2023-07-17,186.82,190.15,186.33,189.61,184.45,452,700
2023-07-14,187.41,187.93,185.55,186.39,181.32,324,900
2023-07-13,186.95,188.60,186.50,188.18,183.06,435,500
2023-07-12,189.77,190.01,186.36,186.54,181.46,719,500
2023-07-11,188.23,189.05,187.00,188.14,183.02,436,000
2023-07-10,182.75,187.40,182.50,187.38,182.28,645,400
2023-07-07,182.20,184.93,182.20,183.33,178.34,437,400
2023-07-06,182.83,183.00,180.38,182.70,177.73,788,500
2023-07-05,182.76,184.59,181.01,184.23,179.21,860,700
2023-07-03,182.68,183.40,181.25,183.22,178.23,409,400
2023-06-30,183.12,184.38,181.84,183.50,178.50,807,200
2023-06-29,177.69,180.67,176.89,180.65,175.73,849,600
2023-06-28,177.40,177.93,176.05,177.48,172.65,713,100
2023-06-27,173.78,177.94,170.96,177.66,172.82,1,080,400
2023-06-26,177.40,179.51,176.45,176.92,172.10,906,900
2023-06-23,176.92,179.12,176.54,177.40,172.57,1,065,000
2023-06-22,176.72,178.97,176.28,178.53,173.67,687,000
2023-06-21,176.36,178.39,175.92,176.72,171.91,714,800
2023-06-20,177.10,178.88,176.16,177.30,172.47,705,600
2023-06-16,179.49,180.32,177.12,178.15,173.30,1,528,400
2023-06-15,176.27,179.68,176.27,178.20,173.35,1,154,900
2023-06-14,175.48,177.88,175.24,176.58,171.77,751,200
2023-06-13,173.63,175.44,173.46,175.40,170.63,554,200
2023-06-12,170.59,173.63,170.04,173.27,168.55,499,000
2023-06-09,170.86,172.00,169.91,170.44,165.80,532,900
2023-06-08,171.47,171.83,168.49,170.06,165.43,1,044,300
2023-06-07,169.91,172.24,169.44,172.22,167.53,659,000
2023-06-06,168.87,170.59,167.73,169.06,164.46,951,400
2023-06-05,173.60,173.60,169.04,169.34,164.73,1,398,400
2023-06-02,174.02,175.77,173.05,174.22,169.48,869,800
2023-06-01,171.78,174.09,170.96,173.28,168.56,618,200
2023-05-31,172.99,173.63,171.28,171.69,167.02,1,658,600
2023-05-30,175.19,176.14,173.91,174.61,169.86,693,800
2023-05-26,171.00,174.91,171.00,174.22,169.48,879,100
2023-05-25,168.33,171.63,168.33,170.64,165.99,655,400
2023-05-24,169.86,169.86,167.57,167.74,163.17,829,600
2023-05-23,174.19,174.47,170.00,170.20,164.99,1,123,900
2023-05-22,173.03,175.88,172.61,175.71,170.33,731,600
2023-05-19,175.69,175.97,172.26,172.59,167.31,732,100
2023-05-18,173.98,175.03,172.54,174.73,169.38,851,800
2023-05-17,170.88,173.62,169.93,173.25,167.95,1,146,500
2023-05-16,170.41,171.30,169.86,170.03,164.83,731,500
2023-05-15,170.58,171.44,168.65,171.41,166.17,767,200
2023-05-12,168.64,170.27,167.81,170.24,165.03,545,800
2023-05-11,167.50,167.95,166.37,167.50,162.38,792,900
2023-05-10,168.45,169.14,166.84,168.66,163.50,1,043,100
2023-05-09,165.21,168.11,164.62,167.76,162.63,972,500
2023-05-08,165.29,166.98,165.10,166.13,161.05,1,073,300
2023-05-05,165.61,167.71,165.20,165.99,160.91,1,088,900
2023-05-04,163.21,165.93,162.59,163.86,158.85,1,461,500
2023-05-03,171.76,172.00,164.68,164.97,159.92,1,103,100
2023-05-02,169.47,170.27,165.24,167.86,162.72,1,463,100
2023-05-01,169.71,171.37,168.92,170.32,165.11,1,349,100
2023-04-28,168.51,169.79,168.09,169.59,164.40,1,126,300
2023-04-27,165.83,168.33,164.49,168.03,162.89,1,128,500
2023-04-26,164.88,165.75,163.73,165.12,160.07,1,449,500
2023-04-25,165.37,166.28,164.29,165.11,160.06,1,122,500
2023-04-24,162.80,166.12,162.80,165.94,160.86,962,000
2023-04-21,164.66,164.92,161.53,163.13,158.14,1,078,600
2023-04-20,164.15,167.01,162.98,164.68,159.64,2,186,000
2023-04-19,163.69,167.08,160.66,165.12,160.07,5,335,800
2023-04-18,190.49,191.58,188.89,190.29,184.47,690,900
2023-04-17,187.29,188.94,186.82,188.92,183.14,559,200
2023-04-14,188.86,190.43,185.14,186.96,181.24,840,500
2023-04-13,188.58,189.36,185.84,189.21,183.42,455,200
2023-04-12,190.00,190.52,187.33,188.09,182.34,547,800
2023-04-11,189.73,190.46,188.26,188.50,182.73,529,000
2023-04-10,185.07,189.30,184.45,189.04,183.26,708,400
2023-04-06,186.86,187.26,185.32,185.50,179.82,545,200
2023-04-05,188.42,189.36,187.30,187.97,182.22,634,000
2023-04-04,194.14,194.14,187.84,189.27,183.48,627,700
2023-04-03,194.09,195.47,193.47,193.69,187.76,738,300
2023-03-31,190.49,195.04,190.15,194.89,188.93,945,100
2023-03-30,190.08,190.86,189.20,190.07,184.25,695,400
2023-03-29,187.25,188.63,186.42,188.30,182.54,585,900
2023-03-28,190.89,191.21,184.34,185.82,180.13,955,400
2023-03-27,192.62,194.18,191.24,191.67,185.81,768,200
2023-03-24,190.36,191.71,187.57,191.71,185.84,580,600
2023-03-23,191.20,193.79,189.42,191.10,185.25,689,900
2023-03-22,194.03,195.63,190.60,190.68,184.85,574,500
2023-03-21,192.68,195.00,192.37,194.49,188.54,620,800
2023-03-20,188.51,191.59,188.41,191.44,185.58,615,100
2023-03-17,193.58,193.58,186.50,188.05,182.30,1,622,300
2023-03-16,187.10,193.79,186.55,193.58,187.66,932,600
2023-03-15,187.98,190.89,185.14,188.65,182.88,926,800
2023-03-14,190.48,193.50,189.41,191.30,185.45,872,600
2023-03-13,188.83,191.70,188.05,188.42,182.66,729,600
2023-03-10,194.63,194.63,189.15,190.47,184.64,699,100
2023-03-09,200.71,201.67,196.11,196.21,190.21,582,300
2023-03-08,199.30,200.42,198.50,199.98,193.86,568,700
2023-03-07,202.98,203.35,198.68,199.33,193.23,469,000
2023-03-06,201.91,203.68,201.91,202.99,196.78,625,400
2023-03-03,202.29,202.57,200.88,201.63,195.46,658,100
2023-03-02,199.80,202.26,199.17,201.52,195.35,517,600
2023-03-01,202.14,203.45,200.34,200.78,194.64,521,200
2023-02-28,202.33,204.29,202.06,202.42,196.23,819,100
2023-02-27,204.12,204.55,201.63,202.52,196.32,690,400
2023-02-24,201.72,203.20,201.45,202.53,196.33,529,500
2023-02-23,205.80,205.80,202.28,204.62,198.36,591,400
2023-02-22,205.94,205.94,202.68,203.99,197.18,688,700
2023-02-21,213.04,213.04,204.92,205.50,198.64,1,106,200
2023-02-17,213.44,215.00,212.25,213.93,206.78,1,073,700
2023-02-16,211.87,214.96,210.92,214.25,207.09,1,409,000
2023-02-15,206.51,212.70,206.51,212.62,205.52,954,600
2023-02-14,209.68,210.72,206.32,208.09,201.14,902,100
2023-02-13,206.00,211.40,205.81,211.20,204.15,1,442,000
2023-02-10,203.08,205.77,201.98,205.64,198.77,1,190,200
2023-02-09,203.70,203.98,202.03,203.36,196.57,1,579,300
2023-02-08,200.45,204.77,195.26,201.66,194.92,1,471,000
2023-02-07,198.87,199.80,195.41,199.29,192.63,966,000
2023-02-06,199.33,201.75,199.02,200.06,193.38,903,900
2023-02-03,200.08,203.57,200.08,201.08,194.36,742,100
2023-02-02,200.58,203.35,200.28,202.08,195.33,1,250,900
2023-02-01,194.77,200.42,194.77,199.18,192.53,722,100
2023-01-31,194.50,196.12,191.26,196.03,189.48,871,400
2023-01-30,192.43,194.94,192.26,194.03,187.55,709,000
2023-01-27,193.11,194.41,192.81,193.29,186.83,758,300
2023-01-26,193.61,195.07,191.89,194.30,187.81,753,800
2023-01-25,194.66,194.98,189.38,192.12,185.70,862,000
2023-01-24,199.62,199.62,196.58,197.14,190.56,754,600
2023-01-23,198.94,201.78,197.85,199.97,193.29,691,900
2023-01-20,197.16,199.11,196.76,198.76,192.12,1,139,300
2023-01-19,197.32,198.23,195.74,197.29,190.70,1,432,400
2023-01-18,199.00,201.00,197.39,198.09,191.47,1,370,200
2023-01-17,195.15,198.28,194.03,197.62,191.02,1,108,200
2023-01-13,192.01,195.30,192.00,194.85,188.34,713,700
2023-01-12,190.89,193.61,189.28,193.39,186.93,686,200
2023-01-11,186.96,190.70,186.79,190.58,184.21,506,500
2023-01-10,183.45,186.49,182.87,186.38,180.15,348,800
2023-01-09,183.80,186.87,183.19,183.96,177.82,567,000
2023-01-06,180.33,183.77,179.48,183.22,177.10,443,900
2023-01-05,179.60,180.55,177.61,178.06,172.11,635,000
2023-01-04,181.52,182.97,179.87,181.15,175.10,630,700
2023-01-03,179.40,181.02,178.04,179.51,173.51,515,300
2022-12-30,178.55,178.70,176.48,178.58,172.62,337,800
2022-12-29,176.73,180.66,176.11,179.86,173.85,387,500
2022-12-28,179.16,179.69,175.34,175.47,169.61,396,900
2022-12-27,179.05,180.10,177.60,178.99,173.01,567,000
2022-12-23,177.34,178.61,176.40,178.14,172.19,350,700
2022-12-22,179.48,180.83,175.54,177.82,171.88,576,600
2022-12-21,180.66,183.10,179.71,181.09,175.04,572,100
2022-12-20,178.40,179.17,177.45,178.94,172.96,496,700
2022-12-19,180.63,181.09,177.84,178.33,172.37,458,900
2022-12-16,182.91,183.77,179.44,181.28,175.23,1,176,500
2022-12-15,189.33,191.99,183.47,184.20,178.05,550,000
2022-12-14,192.61,197.00,190.86,192.03,185.62,660,200
2022-12-13,195.00,195.00,189.68,192.98,186.53,905,500
2022-12-12,185.93,189.68,185.44,189.62,183.29,509,500
2022-12-09,187.20,188.28,185.35,185.48,179.29,344,900
2022-12-08,185.49,187.18,184.48,186.95,180.71,401,000
2022-12-07,184.72,185.78,183.40,184.85,178.68,589,900
2022-12-06,187.27,187.27,183.12,184.74,178.57,354,200
2022-12-05,188.39,188.39,185.21,186.93,180.69,525,400
2022-12-02,188.50,190.70,187.69,190.02,183.67,684,800
2022-12-01,190.00,192.00,188.95,191.21,184.82,666,100
2022-11-30,183.82,188.93,182.89,188.64,182.34,1,488,300
2022-11-29,185.10,185.84,182.32,184.08,177.93,703,500
2022-11-28,187.18,188.11,184.60,185.30,179.11,977,500
2022-11-25,188.78,189.43,188.00,188.20,181.91,231,900
2022-11-23,188.34,190.74,187.71,189.24,182.92,320,600
2022-11-22,186.30,189.34,185.33,188.50,181.63,452,000
2022-11-21,185.50,186.76,183.92,185.12,178.38,479,500
2022-11-18,184.97,186.24,183.46,185.60,178.84,369,300
2022-11-17,180.79,183.23,179.50,183.20,176.53,293,600
2022-11-16,184.65,184.65,182.60,182.88,176.22,581,500
2022-11-15,185.27,186.08,182.86,184.83,178.10,297,700
2022-11-14,183.74,186.06,182.42,182.49,175.84,416,800
2022-11-11,186.71,188.87,184.10,184.35,177.64,531,800
2022-11-10,178.94,185.78,178.18,185.50,178.74,772,900
2022-11-09,174.56,175.65,171.75,172.09,165.82,430,300
2022-11-08,173.39,177.06,172.20,175.72,169.32,598,900
2022-11-07,172.67,173.36,170.18,172.31,166.03,530,000
2022-11-04,175.41,175.65,168.96,172.41,166.13,646,600
2022-11-03,169.53,173.40,166.00,172.83,166.53,934,700
2022-11-02,169.32,179.26,167.60,172.40,166.12,1,350,900
2022-11-01,174.06,174.70,170.50,172.58,166.29,1,006,900
2022-10-31,171.77,174.15,171.19,172.81,166.52,839,800
2022-10-28,168.44,173.69,168.42,172.88,166.58,513,300
2022-10-27,168.96,169.67,166.98,168.43,162.29,649,100
2022-10-26,167.72,169.45,166.19,167.58,161.48,516,200
2022-10-25,164.96,168.67,164.96,168.56,162.42,548,800
2022-10-24,163.47,165.38,162.51,164.70,158.70,484,000
2022-10-21,158.66,163.22,157.50,162.43,156.51,555,800
2022-10-20,160.57,161.72,157.35,158.42,152.65,648,400
2022-10-19,160.18,161.71,158.54,159.47,153.66,358,400
2022-10-18,162.72,163.88,160.12,161.18,155.31,815,800
2022-10-17,157.28,159.67,157.28,159.26,153.46,777,100
2022-10-14,159.57,160.00,153.80,154.08,148.47,687,900
2022-10-13,149.02,158.98,147.91,157.89,152.14,867,600
2022-10-12,153.53,154.09,152.44,152.59,147.03,871,900
2022-10-11,158.68,158.68,151.82,152.60,147.04,1,046,100
2022-10-10,160.26,160.26,156.74,158.43,152.66,576,500
2022-10-07,162.79,162.79,158.95,159.62,153.81,750,900
2022-10-06,166.61,167.73,164.46,165.00,158.99,539,400
2022-10-05,164.82,167.79,163.90,166.55,160.48,351,700
2022-10-04,162.91,166.41,162.86,166.34,160.28,600,000
2022-10-03,157.06,161.20,156.87,159.91,154.09,734,900
2022-09-30,159.13,160.35,155.89,156.08,150.39,717,500
2022-09-29,159.95,161.50,158.19,158.97,153.18,712,800
2022-09-28,158.12,162.39,157.29,161.46,155.58,901,500
2022-09-27,159.53,160.79,156.07,157.73,151.98,424,000
2022-09-26,159.53,161.45,158.02,158.30,152.53,409,600
2022-09-23,161.84,161.84,157.70,159.91,154.09,543,000
2022-09-22,165.00,165.09,161.25,162.64,156.72,606,000
2022-09-21,168.96,170.60,165.40,165.40,159.38,523,900
2022-09-20,169.93,170.12,166.87,168.25,162.12,474,900
2022-09-19,169.27,170.94,168.08,170.68,164.46,465,000
2022-09-16,168.69,171.51,166.81,170.83,164.61,1,267,500
2022-09-15,171.88,172.73,169.13,169.68,163.50,468,900
2022-09-14,172.77,173.92,170.30,172.04,165.77,616,900
2022-09-13,173.88,175.33,171.64,172.45,166.17,852,500
2022-09-12,177.15,177.84,175.59,177.78,171.30,610,100
2022-09-09,175.70,176.75,174.75,175.57,169.17,624,500
2022-09-08,171.77,175.20,171.53,174.36,168.01,480,100
2022-09-07,169.60,173.40,168.72,173.07,166.77,600,500
2022-09-06,169.75,170.24,167.15,169.37,163.20,630,200
2022-09-02,172.48,173.04,167.78,168.50,162.36,549,000
2022-09-01,169.50,170.89,167.95,170.51,164.30,788,500
2022-08-31,175.68,175.88,170.33,170.70,164.48,1,180,700
2022-08-30,178.00,178.14,174.54,175.07,168.69,817,300
2022-08-29,177.88,179.29,176.87,178.00,171.52,858,100
2022-08-26,187.90,187.90,179.38,179.69,173.14,986,900
2022-08-25,184.68,187.95,184.68,187.90,181.06,522,100
2022-08-24,184.35,185.47,183.37,184.40,177.68,683,100
2022-08-23,185.24,186.25,184.53,184.87,177.65,863,900
2022-08-22,186.07,187.20,184.66,185.11,177.88,1,243,700
2022-08-19,186.35,188.90,185.76,188.37,181.02,1,334,900
2022-08-18,183.18,187.26,183.02,187.11,179.81,1,026,500
2022-08-17,183.55,183.94,181.13,182.62,175.49,943,000
2022-08-16,181.04,183.94,180.50,183.55,176.39,582,400
2022-08-15,178.88,181.90,177.82,181.67,174.58,1,449,100
2022-08-12,176.87,180.67,175.31,180.27,173.23,571,500
2022-08-11,178.16,178.61,175.34,175.71,168.85,613,900
2022-08-10,175.83,176.57,174.36,176.01,169.14,733,200
2022-08-09,177.70,178.69,172.12,172.52,165.79,1,401,400
2022-08-08,180.23,181.30,177.50,178.58,171.61,876,000
2022-08-05,178.18,180.27,177.44,179.69,172.68,823,700
2022-08-04,181.04,182.24,178.82,180.02,172.99,832,500
2022-08-03,180.33,182.73,177.73,181.96,174.86,1,019,300
2022-08-02,181.19,182.39,179.43,180.33,173.29,939,600
2022-08-01,180.01,182.78,179.44,181.51,174.43,766,400
2022-07-29,178.54,182.05,177.84,181.53,174.44,963,300
2022-07-28,175.34,178.44,174.37,178.15,171.20,707,600
2022-07-27,170.93,175.70,170.41,174.80,167.98,538,600
2022-07-26,170.77,171.20,169.42,170.10,163.46,623,500
2022-07-25,171.08,171.24,169.20,170.44,163.79,272,500
2022-07-22,171.27,171.76,168.58,170.10,163.46,710,000
2022-07-21,169.00,171.42,168.56,171.25,164.57,456,600
2022-07-20,167.19,169.65,166.27,169.21,162.61,454,200
2022-07-19,162.05,167.75,162.05,167.53,160.99,639,300
2022-07-18,161.69,163.53,159.11,159.67,153.44,461,700
2022-07-15,160.08,161.69,159.59,161.51,155.21,511,100
2022-07-14,157.72,159.56,155.56,158.77,152.57,512,300
2022-07-13,155.80,158.84,154.61,158.30,152.12,485,500
2022-07-12,159.18,161.06,157.30,158.20,152.03,470,300
2022-07-11,160.82,160.96,158.44,158.59,152.40,374,300
2022-07-08,159.17,161.69,158.27,161.53,155.23,410,100
2022-07-07,159.50,160.98,159.26,159.82,153.58,590,600
2022-07-06,158.48,159.55,157.05,158.16,151.99,465,000
2022-07-05,153.81,157.88,152.15,157.75,151.59,701,800
2022-07-01,156.40,159.20,154.22,157.00,150.87,798,100
2022-06-30,156.01,158.84,154.81,157.56,151.41,797,200
2022-06-29,159.37,159.37,156.39,158.08,151.91,550,800
2022-06-28,165.72,166.84,159.13,159.37,153.15,680,700
2022-06-27,165.00,166.36,162.82,165.78,159.31,532,600
2022-06-24,159.77,164.37,159.77,164.34,157.93,1,191,700
2022-06-23,160.63,161.07,156.98,158.12,151.95,703,100
2022-06-22,158.11,160.84,156.52,159.63,153.40,568,600
2022-06-21,158.42,160.17,157.69,159.83,153.59,643,500
2022-06-17,157.36,158.29,154.13,156.20,150.10,1,122,200
2022-06-16,160.08,160.26,154.72,155.94,149.85,763,000
2022-06-15,163.38,166.69,161.54,163.85,157.45,582,600
2022-06-14,161.16,162.85,160.37,162.50,156.16,760,400
2022-06-13,163.50,165.85,160.38,160.88,154.60,1,041,900
2022-06-10,170.70,171.59,167.32,167.34,160.81,697,700
2022-06-09,174.03,176.60,172.87,173.59,166.81,718,900
2022-06-08,177.23,177.23,173.02,174.34,167.54,478,700
2022-06-07,174.34,178.52,173.91,178.10,171.15,558,900
2022-06-06,176.94,178.88,175.59,175.73,168.87,848,400
2022-06-03,174.16,176.04,173.59,175.59,168.74,537,200
2022-06-02,171.77,176.30,170.53,176.13,169.26,572,400
2022-06-01,170.43,172.12,168.67,171.21,164.53,793,800
2022-05-31,170.22,171.79,168.01,169.86,163.23,2,237,300
2022-05-27,168.34,171.10,168.28,171.10,164.42,506,800
2022-05-26,163.07,167.22,161.96,166.52,160.02,777,300
2022-05-25,157.73,162.38,157.22,161.26,154.97,1,361,900
2022-05-24,159.84,160.43,156.12,158.81,152.61,953,400
2022-05-23,161.85,163.15,158.98,161.25,154.48,847,400
2022-05-20,163.21,163.42,155.39,160.20,153.47,749,700
2022-05-19,162.52,164.21,158.91,161.95,155.15,949,400
2022-05-18,171.25,172.17,162.81,163.73,156.85,685,800
2022-05-17,171.80,173.31,170.62,172.65,165.40,473,900
2022-05-16,168.37,170.67,166.57,169.17,162.06,724,600
2022-05-13,167.89,170.73,167.44,169.34,162.23,746,200
2022-05-12,163.25,167.91,163.25,166.79,159.78,862,300
2022-05-11,167.00,170.44,164.04,164.45,157.54,847,000
2022-05-10,168.26,169.71,164.28,166.55,159.55,773,400
2022-05-09,167.78,169.60,164.07,164.80,157.88,742,600
2022-05-06,170.25,171.97,166.97,170.62,163.45,792,400
2022-05-05,175.15,176.63,168.63,171.21,164.02,1,190,500
2022-05-04,169.00,177.57,169.00,177.11,169.67,1,625,100
2022-05-03,164.81,168.63,163.87,167.68,160.64,1,316,500
2022-05-02,163.02,164.52,159.91,164.13,157.23,1,215,700
2022-04-29,167.68,169.39,162.65,163.18,156.32,862,400
2022-04-28,164.08,168.99,163.50,168.64,161.56,1,220,600
2022-04-27,163.04,165.52,161.66,162.53,155.70,1,273,900
2022-04-26,169.52,169.96,163.02,163.17,156.32,1,100,000
2022-04-25,169.13,170.88,165.37,170.65,163.48,810,500
2022-04-22,175.40,175.40,169.27,169.54,162.42,806,600
2022-04-21,179.96,181.02,175.80,176.41,169.00,514,800
2022-04-20,176.05,181.00,175.60,179.00,171.48,962,600
2022-04-19,172.15,175.20,172.15,173.94,166.63,2,277,100
2022-04-18,172.72,174.75,170.87,171.68,164.47,828,100
2022-04-14,174.12,176.75,172.63,172.97,165.70,1,028,600
2022-04-13,171.34,172.24,170.03,170.97,163.79,789,000
2022-04-12,173.25,175.80,170.65,171.65,164.44,734,300
2022-04-11,174.94,175.69,171.86,172.21,164.98,576,900
2022-04-08,177.42,177.51,174.91,175.55,168.18,646,500
2022-04-07,175.80,178.28,174.93,177.32,169.87,736,200
2022-04-06,175.17,177.36,174.03,176.38,168.97,868,200
2022-04-05,178.15,179.45,176.13,176.81,169.38,589,000
2022-04-04,177.76,179.72,176.79,178.83,171.32,650,700
2022-04-01,179.90,180.16,175.00,177.80,170.33,858,900
2022-03-31,179.65,181.14,178.41,178.89,171.37,1,371,700
2022-03-30,180.64,180.64,177.61,178.82,171.31,874,100
2022-03-29,179.62,182.85,179.06,180.96,173.36,1,517,600
2022-03-28,175.47,177.85,174.82,177.31,169.86,1,151,000
2022-03-25,176.89,177.15,174.08,176.15,168.75,674,600
2022-03-24,175.00,176.47,174.20,175.84,168.45,621,200
2022-03-23,177.71,178.33,174.52,174.53,167.20,378,000
2022-03-22,179.73,180.29,177.52,178.15,170.67,633,800
2022-03-21,178.96,179.99,177.30,178.79,171.28,450,200
2022-03-18,175.77,179.93,175.19,179.39,171.85,965,800
2022-03-17,172.59,176.67,172.33,176.41,169.00,546,500
2022-03-16,173.63,176.80,169.90,173.40,166.12,696,100
2022-03-15,167.52,172.60,166.75,172.28,165.04,751,400
2022-03-14,170.88,171.91,165.20,166.60,159.60,800,200
2022-03-11,171.63,172.82,169.82,170.00,162.86,751,400
2022-03-10,168.20,170.55,167.03,170.12,162.97,438,600
2022-03-09,169.16,171.90,166.94,171.00,163.82,720,200
2022-03-08,166.34,169.04,162.91,164.78,157.86,794,300
2022-03-07,170.62,170.87,165.40,165.44,158.49,662,400
2022-03-04,172.25,173.15,168.31,171.57,164.36,634,100
2022-03-03,174.83,175.88,172.07,174.35,167.03,538,900
2022-03-02,170.38,175.49,170.37,174.02,166.71,635,600
2022-03-01,171.19,172.68,168.17,169.41,162.29,915,700
2022-02-28,174.54,174.93,169.85,172.46,165.21,1,229,800
