Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
IPGP,2024-03-01,87.67,90.16,117,10548.72,10257.39,291.33,2.84,6.28,
SMCI,2024-01-02,28.55,103.71,309,32046.39,8821.95,23224.44,263.26,19.07,
MARA,2024-03-01,27.00,21.63,381,8241.03,10287.00,-2045.97,-19.89,4.90,
APP,2024-03-01,62.26,69.14,165,11408.10,10272.90,1135.20,11.05,6.79,
ENPH,2023-08-01,150.32,118.29,43,5086.47,6463.76,-1377.29,-21.31,3.03,
AGYS,2024-04-01,84.85,84.85,81,6872.85,6872.85,0.00,0.00,4.09,BUY 81 shares at $84.85 (股票被纳入)
TDC,2024-03-01,38.56,38.41,266,10217.06,10256.96,-39.90,-0.39,6.08,
ZM,2024-03-01,70.91,64.73,145,9385.85,10281.95,-896.10,-8.72,5.59,
EXTR,2023-09-01,27.14,11.50,272,3128.00,7382.08,-4254.08,-57.63,1.86,
ALGM,2024-04-01,26.85,26.85,257,6900.45,6900.45,0.00,0.00,4.11,BUY 257 shares at $26.85 (股票被纳入)
ACLS,2024-04-01,112.39,112.39,61,6855.79,6855.79,0.00,0.00,4.08,BUY 61 shares at $112.39 (股票被纳入)
PRF,2024-03-01,37.07,38.32,277,10614.64,10268.39,346.25,3.37,6.32,
NTNX,2024-02-01,57.08,62.32,162,10095.84,9246.96,848.88,9.18,6.01,
NVDA,2024-03-01,82.28,90.36,125,11295.00,10285.00,1010.00,9.82,6.72,
MSTR,2023-12-01,52.77,163.67,154,25205.18,8126.58,17078.60,210.16,15.00,
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,168033.41,,,,,,,,,
Cash,132.04,,,,,,,,,
Stock Value,167901.37,,,,,,,,,
Monthly Return %,7.31,,,,,,,,,
Cumulative Return %,68.03,,,,,,,,,
