Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
LSCC,2023-05-01,81.64,81.64,108,8817.12,8817.12,0.00,0.00,8.79,BUY 108 shares at $81.64 (股票被纳入)
MXL,2023-05-01,24.53,24.53,360,8830.80,8830.80,0.00,0.00,8.81,BUY 360 shares at $24.53 (股票被纳入)
ALGM,2023-05-01,36.69,36.69,240,8805.60,8805.60,0.00,0.00,8.78,BUY 240 shares at $36.69 (股票被纳入)
EXTR,2023-04-03,18.96,17.44,370,6452.80,7015.20,-562.40,-8.02,6.44,
SYNA,2023-02-01,132.82,90.29,135,12189.15,17930.70,-5741.55,-32.02,12.16,
TTMI,2023-04-03,13.27,11.84,529,6263.36,7019.83,-756.47,-10.78,6.25,
DXC,2023-04-03,25.33,23.87,277,6611.99,7016.41,-404.42,-5.76,6.59,
AMKR,2023-03-01,26.17,22.37,210,4697.70,5495.70,-798.00,-14.52,4.69,
CRUS,2023-05-01,85.05,85.05,103,8760.15,8760.15,0.00,0.00,8.74,BUY 103 shares at $85.05 (股票被纳入)
MKSI,2023-03-01,94.55,83.98,58,4870.84,5483.90,-613.06,-11.18,4.86,
FORM,2023-04-03,31.26,27.34,224,6124.16,7002.24,-878.08,-12.54,6.11,
OLED,2023-05-01,133.65,133.65,66,8820.90,8820.90,0.00,0.00,8.80,BUY 66 shares at $133.65 (股票被纳入)
RPD,2023-05-01,48.73,48.73,181,8820.13,8820.13,0.00,0.00,8.80,BUY 181 shares at $48.73 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,100259.70,,,,,,,,,
Cash,195.00,,,,,,,,,
Stock Value,100064.70,,,,,,,,,
Monthly Return %,-10.01,,,,,,,,,
Cumulative Return %,0.26,,,,,,,,,
