Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
VIAV,2023-03-01,10.77,10.77,610,6569.70,6569.70,0.00,0.00,6.43,BUY 610 shares at $10.77 (股票被纳入)
RPD,2023-03-01,47.23,47.23,139,6564.97,6564.97,0.00,0.00,6.42,BUY 139 shares at $47.23 (股票被纳入)
INTC,2023-02-01,28.03,24.72,285,7045.20,7988.55,-943.35,-11.81,6.89,
MKSI,2023-03-01,92.53,92.53,71,6569.63,6569.63,0.00,0.00,6.43,BUY 71 shares at $92.53 (股票被纳入)
PRO,2023-03-01,26.41,26.41,249,6576.09,6576.09,0.00,0.00,6.44,BUY 249 shares at $26.41 (股票被纳入)
AGYS,2023-03-01,80.73,80.73,81,6539.13,6539.13,0.00,0.00,6.40,BUY 81 shares at $80.73 (股票被纳入)
QCOM,2023-03-01,117.51,117.51,55,6463.05,6463.05,0.00,0.00,6.32,BUY 55 shares at $117.51 (股票被纳入)
AKAM,2023-03-01,73.05,73.05,90,6574.50,6574.50,0.00,0.00,6.43,BUY 90 shares at $73.05 (股票被纳入)
VECO,2023-02-01,20.87,21.66,383,8295.78,7993.21,302.57,3.79,8.12,
MXL,2023-02-01,43.24,34.67,185,6413.95,7999.40,-1585.45,-19.82,6.28,
SYNA,2023-02-01,132.82,118.12,60,7087.20,7969.20,-882.00,-11.07,6.94,
AMKR,2023-03-01,25.00,25.00,263,6575.00,6575.00,0.00,0.00,6.43,BUY 263 shares at $25.00 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,102186.65,,,,,,,,,
Cash,20912.45,,,,,,,,,
Stock Value,81274.20,,,,,,,,,
Monthly Return %,-2.93,,,,,,,,,
Cumulative Return %,2.19,,,,,,,,,
