Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
ZM,2024-03-01,70.91,70.91,145,10281.95,10281.95,0.00,0.00,6.54,BUY 145 shares at $70.91 (股票被纳入)
SMCI,2024-01-02,28.55,90.55,310,28070.50,8850.50,19220.00,217.16,17.85,
MSTR,2023-12-01,52.77,107.94,154,16622.76,8126.58,8496.18,104.55,10.57,
MARA,2024-03-01,27.00,27.00,383,10341.00,10341.00,0.00,0.00,6.58,BUY 383 shares at $27.00 (股票被纳入)
PSTG,2024-03-01,55.33,55.33,186,10291.38,10291.38,0.00,0.00,6.55,BUY 186 shares at $55.33 (股票被纳入)
ENPH,2023-08-01,150.32,129.66,43,5575.38,6463.76,-888.38,-13.74,3.55,
DOCU,2024-03-01,54.58,54.58,189,10315.62,10315.62,0.00,0.00,6.56,BUY 189 shares at $54.58 (股票被纳入)
PRF,2024-03-01,36.07,36.07,286,10316.02,10316.02,0.00,0.00,6.56,BUY 286 shares at $36.07 (股票被纳入)
EXTR,2023-09-01,27.14,12.46,273,3401.58,7409.22,-4007.64,-54.09,2.16,
NTNX,2024-02-01,57.08,64.40,163,10497.20,9304.04,1193.16,12.82,6.68,
TDC,2024-03-01,38.56,38.56,268,10334.08,10334.08,0.00,0.00,6.57,BUY 268 shares at $38.56 (股票被纳入)
IPGP,2024-03-01,87.67,87.67,117,10257.39,10257.39,0.00,0.00,6.52,BUY 117 shares at $87.67 (股票被纳入)
APP,2024-03-01,62.26,62.26,166,10335.16,10335.16,0.00,0.00,6.57,BUY 166 shares at $62.26 (股票被纳入)
NVDA,2024-03-01,82.24,82.24,125,10280.00,10280.00,0.00,0.00,6.54,BUY 125 shares at $82.24 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,157239.65,,,,,,,,,
Cash,319.63,,,,,,,,,
Stock Value,156920.02,,,,,,,,,
Monthly Return %,24.43,,,,,,,,,
Cumulative Return %,57.24,,,,,,,,,
