Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
ALGM,2024-08-01,24.17,24.17,442,10683.14,10683.14,0.00,0.00,6.77,BUY 442 shares at $24.17 (股票被纳入)
CVLT,2024-08-01,147.25,147.25,72,10602.00,10602.00,0.00,0.00,6.71,BUY 72 shares at $147.25 (股票被纳入)
SCSC,2024-08-01,49.22,49.22,217,10680.74,10680.74,0.00,0.00,6.76,BUY 217 shares at $49.22 (股票被纳入)
NVDA,2024-03-01,82.28,109.21,125,13651.25,10285.00,3366.25,32.73,8.65,
RNG,2024-05-01,30.08,33.45,250,8362.50,7520.00,842.50,11.20,5.30,
PLAB,2024-08-01,23.49,23.49,455,10687.95,10687.95,0.00,0.00,6.77,BUY 455 shares at $23.49 (股票被纳入)
LSCC,2024-08-01,48.45,48.45,220,10659.00,10659.00,0.00,0.00,6.75,BUY 220 shares at $48.45 (股票被纳入)
TDC,2024-03-01,38.56,31.35,266,8339.10,10256.96,-1917.86,-18.70,5.28,
EPAM,2024-06-03,176.19,214.94,47,10102.18,8280.93,1821.25,21.99,6.40,
QCOM,2024-08-01,164.00,164.00,65,10660.00,10660.00,0.00,0.00,6.75,BUY 65 shares at $164.00 (股票被纳入)
HLIT,2024-08-01,14.50,14.50,738,10701.00,10701.00,0.00,0.00,6.78,BUY 738 shares at $14.50 (股票被纳入)
CRWD,2024-08-01,224.22,224.22,47,10538.34,10538.34,0.00,0.00,6.67,BUY 47 shares at $224.22 (股票被纳入)
AMKR,2024-08-01,30.01,30.01,356,10683.56,10683.56,0.00,0.00,6.77,BUY 356 shares at $30.01 (股票被纳入)
PENG,2024-08-01,21.55,21.55,496,10688.80,10688.80,0.00,0.00,6.77,BUY 496 shares at $21.55 (股票被纳入)
IPGP,2024-07-01,83.33,77.08,135,10405.80,11249.55,-843.75,-7.50,6.59,
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,157907.41,,,,,,,,,
Cash,462.05,,,,,,,,,
Stock Value,157445.36,,,,,,,,,
Monthly Return %,-3.10,,,,,,,,,
Cumulative Return %,57.91,,,,,,,,,
