Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
INTU,2025-04-01,611.88,611.88,18,11013.84,11013.84,0.00,0.00,7.12,BUY 18 shares at $611.88 (股票被纳入)
ADSK,2025-04-01,264.61,264.61,42,11113.62,11113.62,0.00,0.00,7.18,BUY 42 shares at $264.61 (股票被纳入)
QLYS,2025-04-01,128.67,128.67,87,11194.29,11194.29,0.00,0.00,7.23,BUY 87 shares at $128.67 (股票被纳入)
YOU,2025-01-02,26.50,25.68,436,11196.48,11554.00,-357.52,-3.09,7.23,
ADBE,2025-01-02,441.00,383.20,26,9963.20,11466.00,-1502.80,-13.11,6.44,
WDAY,2025-04-01,234.53,234.53,47,11022.91,11022.91,0.00,0.00,7.12,BUY 47 shares at $234.53 (股票被纳入)
OTEX,2025-03-03,24.98,25.13,416,10454.08,10391.68,62.40,0.60,6.75,
FTNT,2025-01-02,94.75,96.67,122,11793.74,11559.50,234.24,2.03,7.62,
AAPL,2025-04-01,222.65,222.65,50,11132.50,11132.50,0.00,0.00,7.19,BUY 50 shares at $222.65 (股票被纳入)
ZS,2025-04-01,201.07,201.07,55,11058.85,11058.85,0.00,0.00,7.15,BUY 55 shares at $201.07 (股票被纳入)
DLB,2025-03-03,80.17,79.92,129,10309.68,10341.93,-32.25,-0.31,6.66,
MSFT,2025-04-01,380.86,380.86,29,11044.94,11044.94,0.00,0.00,7.14,BUY 29 shares at $380.86 (股票被纳入)
ROP,2025-04-01,589.08,589.08,19,11192.52,11192.52,0.00,0.00,7.23,BUY 19 shares at $589.08 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,154770.63,,,,,,,,,
Cash,12279.98,,,,,,,,,
Stock Value,142490.65,,,,,,,,,
Monthly Return %,-2.47,,,,,,,,,
Cumulative Return %,54.77,,,,,,,,,
