Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
TER,2025-05-01,73.78,73.78,141,10402.98,10402.98,0.00,0.00,6.69,BUY 141 shares at $73.78 (股票被纳入)
CRUS,2025-05-01,95.54,95.54,109,10413.86,10413.86,0.00,0.00,6.69,BUY 109 shares at $95.54 (股票被纳入)
ON,2025-05-01,39.60,39.60,263,10414.80,10414.80,0.00,0.00,6.69,BUY 263 shares at $39.60 (股票被纳入)
MKSI,2025-05-01,71.63,71.63,145,10386.35,10386.35,0.00,0.00,6.68,BUY 145 shares at $71.63 (股票被纳入)
QRVO,2025-05-01,69.81,69.81,149,10401.69,10401.69,0.00,0.00,6.69,BUY 149 shares at $69.81 (股票被纳入)
ROG,2025-05-01,63.70,63.70,163,10383.10,10383.10,0.00,0.00,6.67,BUY 163 shares at $63.70 (股票被纳入)
ZBRA,2025-05-01,249.64,249.64,41,10235.24,10235.24,0.00,0.00,6.58,BUY 41 shares at $249.64 (股票被纳入)
BILL,2025-05-01,45.49,45.49,229,10417.21,10417.21,0.00,0.00,6.70,BUY 229 shares at $45.49 (股票被纳入)
MCHP,2025-05-01,45.98,45.98,226,10391.48,10391.48,0.00,0.00,6.68,BUY 226 shares at $45.98 (股票被纳入)
YOU,2025-01-02,27.04,24.40,427,10418.80,11546.08,-1127.28,-9.76,6.70,
OLED,2025-05-01,141.20,141.20,73,10307.60,10307.60,0.00,0.00,6.62,BUY 73 shares at $141.20 (股票被纳入)
MRVL,2025-05-01,60.95,60.95,170,10361.50,10361.50,0.00,0.00,6.66,BUY 170 shares at $60.95 (股票被纳入)
SWKS,2025-05-01,65.23,65.23,159,10371.57,10371.57,0.00,0.00,6.67,BUY 159 shares at $65.23 (股票被纳入)
ADBE,2025-01-02,441.00,374.63,26,9740.38,11466.00,-1725.62,-15.05,6.26,
ACLS,2025-05-01,49.11,49.11,212,10411.32,10411.32,0.00,0.00,6.69,BUY 212 shares at $49.11 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,155588.70,,,,,,,,,
Cash,530.82,,,,,,,,,
Stock Value,155057.88,,,,,,,,,
Monthly Return %,1.50,,,,,,,,,
Cumulative Return %,55.59,,,,,,,,,
