Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
VECO,2023-02-01,20.87,20.87,862,17989.94,17989.94,0.00,0.00,15.53,BUY 862 shares at $20.87 (股票被纳入)
MXL,2023-02-01,43.24,43.24,416,17987.84,17987.84,0.00,0.00,15.53,BUY 416 shares at $43.24 (股票被纳入)
SYNA,2023-02-01,132.82,132.82,135,17930.70,17930.70,0.00,0.00,15.48,BUY 135 shares at $132.82 (股票被纳入)
INTC,2023-02-01,28.03,28.03,642,17995.26,17995.26,0.00,0.00,15.53,BUY 642 shares at $28.03 (股票被纳入)
EXTR,2023-02-01,18.22,18.22,987,17983.14,17983.14,0.00,0.00,15.52,BUY 987 shares at $18.22 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,115842.93,,,,,,,,,
Cash,25956.05,,,,,,,,,
Stock Value,89886.88,,,,,,,,,
Monthly Return %,15.84,,,,,,,,,
Cumulative Return %,15.84,,,,,,,,,
