Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
PRF,2024-01-02,34.28,34.28,258,8844.24,8844.24,0.00,0.00,7.36,BUY 258 shares at $34.28 (股票被纳入)
DOCU,2024-01-02,57.02,57.02,155,8838.10,8838.10,0.00,0.00,7.36,BUY 155 shares at $57.02 (股票被纳入)
SMCI,2024-01-02,28.55,28.55,310,8850.50,8850.50,0.00,0.00,7.37,BUY 310 shares at $28.55 (股票被纳入)
MSTR,2023-12-01,52.77,68.51,154,10550.54,8126.58,2423.96,29.83,8.78,
PLAB,2023-09-01,24.19,30.86,306,9443.16,7402.14,2041.02,27.57,7.86,
ALGM,2024-01-02,29.50,29.50,300,8850.00,8850.00,0.00,0.00,7.37,BUY 300 shares at $29.50 (股票被纳入)
IDCC,2024-01-02,103.89,103.89,85,8830.65,8830.65,0.00,0.00,7.35,BUY 85 shares at $103.89 (股票被纳入)
ENPH,2023-08-01,150.32,131.24,43,5643.32,6463.76,-820.44,-12.69,4.70,
NSIT,2024-01-02,176.75,176.75,50,8837.50,8837.50,0.00,0.00,7.36,BUY 50 shares at $176.75 (股票被纳入)
MANH,2024-01-02,206.77,206.77,42,8684.34,8684.34,0.00,0.00,7.23,BUY 42 shares at $206.77 (股票被纳入)
XRX,2023-11-01,11.49,16.05,610,9788.12,7007.13,2780.99,39.69,8.15,
LSCC,2024-01-02,68.40,68.40,129,8823.60,8823.60,0.00,0.00,7.35,BUY 129 shares at $68.40 (股票被纳入)
EXTR,2023-09-01,27.14,17.81,273,4862.13,7409.22,-2547.09,-34.38,4.05,
ACLS,2024-01-02,124.72,124.72,71,8855.12,8855.12,0.00,0.00,7.37,BUY 71 shares at $124.72 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,120111.87,,,,,,,,,
Cash,410.55,,,,,,,,,
Stock Value,119701.32,,,,,,,,,
Monthly Return %,11.14,,,,,,,,,
Cumulative Return %,20.11,,,,,,,,,
