Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
NTNX,2023-06-01,29.87,34.90,253,8829.70,7557.11,1272.59,16.84,8.15,
SYNA,2023-02-01,132.82,89.04,135,12020.40,17930.70,-5910.30,-32.96,11.09,
PRO,2023-09-01,35.76,35.76,207,7402.32,7402.32,0.00,0.00,6.83,BUY 207 shares at $35.76 (股票被纳入)
KEYS,2023-09-01,133.88,133.88,55,7363.40,7363.40,0.00,0.00,6.79,BUY 55 shares at $133.88 (股票被纳入)
MXL,2023-05-01,24.53,24.09,362,8720.58,8879.86,-159.28,-1.79,8.04,
COHU,2023-09-01,37.72,37.72,196,7393.12,7393.12,0.00,0.00,6.82,BUY 196 shares at $37.72 (股票被纳入)
EXTR,2023-09-01,27.14,27.14,273,7409.22,7409.22,0.00,0.00,6.83,BUY 273 shares at $27.14 (股票被纳入)
ENPH,2023-08-01,150.32,128.73,43,5535.39,6463.76,-928.37,-14.36,5.11,
PRF,2023-08-01,32.67,32.08,200,6416.00,6534.00,-118.00,-1.81,5.92,
AGYS,2023-09-01,71.07,71.07,104,7391.28,7391.28,0.00,0.00,6.82,BUY 104 shares at $71.07 (股票被纳入)
DOCN,2023-09-01,26.76,26.76,277,7412.52,7412.52,0.00,0.00,6.84,BUY 277 shares at $26.76 (股票被纳入)
PLAB,2023-09-01,24.19,24.19,306,7402.14,7402.14,0.00,0.00,6.83,BUY 306 shares at $24.19 (股票被纳入)
EPAM,2023-06-01,257.94,258.55,29,7497.95,7480.26,17.69,0.24,6.92,
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,108403.68,,,,,,,,,
Cash,7609.66,,,,,,,,,
Stock Value,100794.02,,,,,,,,,
Monthly Return %,-2.86,,,,,,,,,
Cumulative Return %,8.40,,,,,,,,,
