Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
ROG,2023-10-02,130.79,130.79,83,10855.57,10855.57,0.00,0.00,10.65,BUY 83 shares at $130.79 (股票被纳入)
EPAM,2023-06-01,257.94,251.84,29,7303.36,7480.26,-176.90,-2.36,7.16,
ENPH,2023-08-01,150.32,116.84,43,5024.12,6463.76,-1439.64,-22.27,4.93,
MXL,2023-05-01,24.53,22.01,360,7923.60,8830.80,-907.20,-10.27,7.77,
NTNX,2023-06-01,29.87,34.76,253,8794.28,7557.11,1237.17,16.37,8.63,
SYNA,2023-02-01,132.82,87.97,135,11875.95,17930.70,-6054.75,-33.77,11.65,
PLAB,2023-09-01,24.19,20.31,305,6194.55,7377.95,-1183.40,-16.04,6.08,
AGYS,2023-09-01,71.07,66.13,104,6877.52,7391.28,-513.76,-6.95,6.75,
KLAC,2023-10-02,460.63,460.63,23,10594.49,10594.49,0.00,0.00,10.39,BUY 23 shares at $460.63 (股票被纳入)
COHU,2023-09-01,37.72,34.51,195,6729.45,7355.40,-625.95,-8.51,6.60,
EXTR,2023-09-01,27.14,24.48,272,6658.56,7382.08,-723.52,-9.80,6.53,
DOCN,2023-09-01,26.76,23.92,276,6601.92,7385.76,-783.84,-10.61,6.48,
PRF,2023-08-01,33.91,31.59,192,6065.28,6510.72,-445.44,-6.84,5.95,
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,101951.67,,,,,,,,,
Cash,453.02,,,,,,,,,
Stock Value,101498.65,,,,,,,,,
Monthly Return %,-5.68,,,,,,,,,
Cumulative Return %,1.95,,,,,,,,,
