Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
NVDA,2024-03-01,82.24,116.97,119,13919.43,9786.56,4132.87,42.23,9.31,
RPD,2024-10-01,38.95,38.95,257,10010.15,10010.15,0.00,0.00,6.70,BUY 257 shares at $38.95 (股票被纳入)
TDC,2024-03-01,38.56,29.62,255,7553.10,9832.80,-2279.70,-23.18,5.05,
DV,2024-10-01,16.75,16.75,599,10033.25,10033.25,0.00,0.00,6.71,BUY 599 shares at $16.75 (股票被纳入)
EPAM,2024-06-03,176.19,196.38,45,8837.10,7928.55,908.55,11.46,5.91,
IPGP,2024-07-01,83.33,71.85,128,9196.80,10666.24,-1469.44,-13.78,6.15,
LSCC,2024-08-01,48.45,51.31,210,10775.10,10174.50,600.60,5.90,7.21,
APP,2024-10-01,130.65,130.65,76,9929.40,9929.40,0.00,0.00,6.64,BUY 76 shares at $130.65 (股票被纳入)
RMBS,2024-10-01,40.13,40.13,250,10032.50,10032.50,0.00,0.00,6.71,BUY 250 shares at $40.13 (股票被纳入)
PI,2024-10-01,211.67,211.67,47,9948.49,9948.49,0.00,0.00,6.66,BUY 47 shares at $211.67 (股票被纳入)
SMCI,2024-09-03,44.18,40.55,219,8880.45,9675.42,-794.97,-8.22,5.94,
BL,2024-10-01,54.13,54.13,185,10014.05,10014.05,0.00,0.00,6.70,BUY 185 shares at $54.13 (股票被纳入)
CORZ,2024-10-01,11.76,11.76,853,10031.28,10031.28,0.00,0.00,6.71,BUY 853 shares at $11.76 (股票被纳入)
VRNT,2024-10-01,24.53,24.53,409,10032.77,10032.77,0.00,0.00,6.71,BUY 409 shares at $24.53 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,149468.46,,,,,,,,,
Cash,10274.59,,,,,,,,,
Stock Value,139193.87,,,,,,,,,
Monthly Return %,2.48,,,,,,,,,
Cumulative Return %,49.47,,,,,,,,,
