Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
CDW,2024-12-02,178.73,178.73,63,11259.99,11259.99,0.00,0.00,6.32,BUY 63 shares at $178.73 (股票被纳入)
ADI,2024-12-02,219.35,219.35,51,11186.85,11186.85,0.00,0.00,6.28,BUY 51 shares at $219.35 (股票被纳入)
ROP,2024-12-02,566.08,566.08,19,10755.52,10755.52,0.00,0.00,6.04,BUY 19 shares at $566.08 (股票被纳入)
IT,2024-12-02,517.00,517.00,21,10857.00,10857.00,0.00,0.00,6.09,BUY 21 shares at $517.00 (股票被纳入)
TER,2024-12-02,112.91,112.91,100,11291.00,11291.00,0.00,0.00,6.34,BUY 100 shares at $112.91 (股票被纳入)
QRVO,2024-12-02,70.80,70.80,159,11257.20,11257.20,0.00,0.00,6.32,BUY 159 shares at $70.80 (股票被纳入)
KLAC,2024-12-02,661.49,661.49,17,11245.33,11245.33,0.00,0.00,6.31,BUY 17 shares at $661.49 (股票被纳入)
GFS,2024-11-01,36.63,45.12,296,13355.52,10842.48,2513.04,23.18,7.49,
ALRM,2024-12-02,64.66,64.66,174,11250.84,11250.84,0.00,0.00,6.31,BUY 174 shares at $64.66 (股票被纳入)
MSI,2024-12-02,492.94,492.94,22,10844.68,10844.68,0.00,0.00,6.09,BUY 22 shares at $492.94 (股票被纳入)
EPAM,2024-12-02,243.79,243.79,46,11214.34,11214.34,0.00,0.00,6.29,BUY 46 shares at $243.79 (股票被纳入)
AKAM,2024-12-02,97.93,97.93,115,11261.95,11261.95,0.00,0.00,6.32,BUY 115 shares at $97.93 (股票被纳入)
SWKS,2024-11-01,85.61,85.20,126,10735.20,10786.86,-51.66,-0.48,6.02,
AMAT,2024-12-02,181.81,181.81,62,11272.22,11272.22,0.00,0.00,6.33,BUY 62 shares at $181.81 (股票被纳入)
ICHR,2024-12-02,35.40,35.40,319,11292.60,11292.60,0.00,0.00,6.34,BUY 319 shares at $35.40 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,178210.10,,,,,,,,,
Cash,9129.86,,,,,,,,,
Stock Value,169080.24,,,,,,,,,
Monthly Return %,9.18,,,,,,,,,
Cumulative Return %,78.21,,,,,,,,,
