Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
PANW,2024-07-01,170.45,170.45,66,11249.70,11249.70,0.00,0.00,6.87,BUY 66 shares at $170.45 (股票被纳入)
MANH,2024-07-01,245.28,245.28,46,11282.88,11282.88,0.00,0.00,6.89,BUY 46 shares at $245.28 (股票被纳入)
TDC,2024-03-01,38.56,34.70,268,9299.60,10334.08,-1034.48,-10.01,5.68,
ZM,2024-07-01,59.21,59.21,191,11309.11,11309.11,0.00,0.00,6.91,BUY 191 shares at $59.21 (股票被纳入)
RNG,2024-05-01,30.08,29.44,252,7418.88,7580.16,-161.28,-2.13,4.53,
DDOG,2024-07-01,130.50,130.50,86,11223.00,11223.00,0.00,0.00,6.86,BUY 86 shares at $130.50 (股票被纳入)
ADBE,2024-06-03,439.02,560.01,19,10640.19,8341.38,2298.81,27.56,6.50,
NVDA,2024-03-01,82.24,124.26,125,15532.50,10280.00,5252.50,51.09,9.49,
AKAM,2024-07-01,89.53,89.53,126,11280.78,11280.78,0.00,0.00,6.89,BUY 126 shares at $89.53 (股票被纳入)
ENPH,2024-07-01,97.26,97.26,116,11282.16,11282.16,0.00,0.00,6.89,BUY 116 shares at $97.26 (股票被纳入)
RPD,2024-06-03,35.57,43.17,235,10144.95,8358.95,1786.00,21.37,6.20,
APP,2024-03-01,62.26,84.82,166,14080.12,10335.16,3744.96,36.24,8.60,
EPAM,2024-06-03,176.19,185.58,47,8722.26,8280.93,441.33,5.33,5.33,
IPGP,2024-07-01,83.33,83.33,135,11249.55,11249.55,0.00,0.00,6.87,BUY 135 shares at $83.33 (股票被纳入)
DOCU,2024-06-03,53.44,55.14,157,8656.98,8390.08,266.90,3.18,5.29,
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,163680.30,,,,,,,,,
Cash,307.64,,,,,,,,,
Stock Value,163372.66,,,,,,,,,
Monthly Return %,6.87,,,,,,,,,
Cumulative Return %,63.68,,,,,,,,,
