Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
VYX,2023-11-01,15.58,15.58,450,7011.00,7011.00,0.00,0.00,7.48,BUY 450 shares at $15.58 (股票被纳入)
XRX,2023-11-01,11.49,11.49,610,7007.13,7007.13,0.00,0.00,7.48,BUY 610 shares at $11.49 (股票被纳入)
SYNA,2023-02-01,132.82,80.28,135,10837.80,17930.70,-7092.90,-39.56,11.57,
EXTR,2023-09-01,27.14,17.86,273,4875.78,7409.22,-2533.44,-34.19,5.20,
COHU,2023-09-01,37.72,30.30,196,5938.80,7393.12,-1454.32,-19.67,6.34,
NTNX,2023-06-01,29.87,36.54,253,9244.62,7557.11,1687.51,22.33,9.86,
DOCN,2023-09-01,26.76,19.82,277,5490.14,7412.52,-1922.38,-25.93,5.86,
DIOD,2023-11-01,65.10,65.10,107,6965.70,6965.70,0.00,0.00,7.43,BUY 107 shares at $65.10 (股票被纳入)
LSCC,2023-11-01,54.61,54.61,128,6990.08,6990.08,0.00,0.00,7.46,BUY 128 shares at $54.61 (股票被纳入)
ALGM,2023-11-01,25.76,25.76,272,7006.72,7006.72,0.00,0.00,7.48,BUY 272 shares at $25.76 (股票被纳入)
CGNX,2023-11-01,34.21,34.21,204,6978.84,6978.84,0.00,0.00,7.45,BUY 204 shares at $34.21 (股票被纳入)
ENPH,2023-08-01,150.32,76.73,43,3299.39,6463.76,-3164.37,-48.96,3.52,
PLAB,2023-09-01,24.19,18.52,306,5667.12,7402.14,-1735.02,-23.44,6.05,
EPAM,2023-06-01,257.94,216.65,29,6282.85,7480.26,-1197.41,-16.01,6.70,
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,93711.31,,,,,,,,,
Cash,115.34,,,,,,,,,
Stock Value,93595.97,,,,,,,,,
Monthly Return %,-8.37,,,,,,,,,
Cumulative Return %,-6.29,,,,,,,,,
