Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
YOU,2025-01-02,27.04,27.98,427,11947.46,11546.08,401.38,3.48,6.40,
BILL,2025-05-01,45.49,46.05,229,10545.45,10417.21,128.24,1.23,5.64,
SWKS,2025-05-01,65.23,77.16,159,12268.44,10371.57,1896.87,18.29,6.57,
WDAY,2025-07-01,239.23,239.23,54,12918.42,12918.42,0.00,0.00,6.92,BUY 54 shares at $239.23 (股票被纳入)
DDOG,2025-07-01,132.33,132.33,98,12968.34,12968.34,0.00,0.00,6.94,BUY 98 shares at $132.33 (股票被纳入)
TDC,2025-07-01,23.14,23.14,563,13027.82,13027.82,0.00,0.00,6.97,BUY 563 shares at $23.14 (股票被纳入)
ZBRA,2025-07-01,315.48,315.48,41,12934.68,12934.68,0.00,0.00,6.92,BUY 41 shares at $315.48 (股票被纳入)
ON,2025-05-01,39.60,53.60,263,14096.80,10414.80,3682.00,35.35,7.55,
CDNS,2025-06-02,292.53,309.46,39,12068.94,11408.67,660.27,5.79,6.46,
FTNT,2025-06-02,102.47,102.43,113,11574.59,11579.11,-4.52,-0.04,6.20,
PLUS,2025-07-01,71.45,71.45,182,13003.90,13003.90,0.00,0.00,6.96,BUY 182 shares at $71.45 (股票被纳入)
QRVO,2025-05-01,69.81,86.08,149,12825.92,10401.69,2424.23,23.31,6.87,
ZS,2025-07-01,307.32,307.32,42,12907.44,12907.44,0.00,0.00,6.91,BUY 42 shares at $307.32 (股票被纳入)
DIOD,2025-07-01,55.30,55.30,235,12995.50,12995.50,0.00,0.00,6.96,BUY 235 shares at $55.30 (股票被纳入)
ADBE,2025-01-02,441.00,392.10,26,10194.60,11466.00,-1271.40,-11.09,5.46,
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,186811.55,,,,,,,,,
Cash,533.25,,,,,,,,,
Stock Value,186278.30,,,,,,,,,
Monthly Return %,11.17,,,,,,,,,
Cumulative Return %,86.81,,,,,,,,,
