Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
VIAV,2023-07-03,11.36,11.36,748,8497.28,8497.28,0.00,0.00,7.72,BUY 748 shares at $11.36 (股票被纳入)
ATEN,2023-06-01,14.62,14.28,518,7397.04,7573.16,-176.12,-2.33,6.72,
EPAM,2023-06-01,257.94,226.58,29,6570.82,7480.26,-909.44,-12.16,5.97,
NTNX,2023-06-01,29.87,28.23,253,7142.19,7557.11,-414.92,-5.49,6.49,
SYNA,2023-02-01,132.82,86.87,135,11727.45,17930.70,-6203.25,-34.60,10.66,
VYX,2023-06-01,14.72,15.72,514,8080.08,7566.08,514.00,6.79,7.34,
NSSC,2023-07-03,34.27,34.27,248,8498.96,8498.96,0.00,0.00,7.73,BUY 248 shares at $34.27 (股票被纳入)
MEI,2023-07-03,33.48,33.48,253,8470.44,8470.44,0.00,0.00,7.70,BUY 253 shares at $33.48 (股票被纳入)
RPD,2023-05-01,48.73,45.19,181,8179.39,8820.13,-640.74,-7.26,7.44,
AGYS,2023-06-01,73.15,68.20,103,7024.60,7534.45,-509.85,-6.77,6.39,
ALGM,2023-07-03,45.23,45.23,187,8458.01,8458.01,0.00,0.00,7.69,BUY 187 shares at $45.23 (股票被纳入)
MXL,2023-05-01,24.53,32.03,360,11530.80,8830.80,2700.00,30.57,10.48,
CRUS,2023-05-01,85.05,81.16,103,8359.48,8760.15,-400.67,-4.57,7.60,
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,110008.70,,,,,,,,,
Cash,72.16,,,,,,,,,
Stock Value,109936.54,,,,,,,,,
Monthly Return %,3.25,,,,,,,,,
Cumulative Return %,10.01,,,,,,,,,
