Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
SMCI,2024-01-02,28.55,58.35,309,18030.15,8821.95,9208.20,104.38,14.33,
LSCC,2024-01-02,68.40,61.13,129,7885.77,8823.60,-937.83,-10.63,6.27,
MSTR,2023-12-01,52.77,50.35,154,7753.90,8126.58,-372.68,-4.59,6.16,
AMAT,2024-02-01,166.97,166.97,55,9183.35,9183.35,0.00,0.00,7.30,BUY 55 shares at $166.97 (股票被纳入)
CRUS,2024-02-01,76.97,76.97,120,9236.40,9236.40,0.00,0.00,7.34,BUY 120 shares at $76.97 (股票被纳入)
MANH,2024-01-02,206.77,249.07,42,10460.94,8684.34,1776.60,20.46,8.31,
ALGM,2024-01-02,29.50,29.14,299,8712.86,8820.50,-107.64,-1.22,6.93,
AMKR,2024-02-01,31.95,31.95,289,9233.55,9233.55,0.00,0.00,7.34,BUY 289 shares at $31.95 (股票被纳入)
ZBRA,2024-02-01,242.60,242.60,38,9218.80,9218.80,0.00,0.00,7.33,BUY 38 shares at $242.60 (股票被纳入)
ENPH,2023-08-01,150.32,105.44,43,4533.92,6463.76,-1929.84,-29.86,3.60,
NTNX,2024-02-01,57.08,57.08,162,9246.96,9246.96,0.00,0.00,7.35,BUY 162 shares at $57.08 (股票被纳入)
PLAB,2023-09-01,24.19,30.38,305,9265.90,7377.95,1887.95,25.59,7.37,
EXTR,2023-09-01,27.14,13.22,272,3595.84,7382.08,-3786.24,-51.29,2.86,
COHU,2024-02-01,32.16,32.16,287,9229.92,9229.92,0.00,0.00,7.34,BUY 287 shares at $32.16 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,125808.09,,,,,,,,,
Cash,219.83,,,,,,,,,
Stock Value,125588.26,,,,,,,,,
Monthly Return %,5.17,,,,,,,,,
Cumulative Return %,25.81,,,,,,,,,
