Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
ZBRA,2023-12-01,241.22,241.22,33,7960.26,7960.26,0.00,0.00,7.37,BUY 33 shares at $241.22 (股票被纳入)
PLAB,2023-09-01,24.19,21.19,306,6484.14,7402.14,-918.00,-12.40,6.00,
BDC,2023-12-01,68.22,68.22,119,8118.18,8118.18,0.00,0.00,7.51,BUY 119 shares at $68.22 (股票被纳入)
NTAP,2023-12-01,88.18,88.18,92,8112.56,8112.56,0.00,0.00,7.51,BUY 92 shares at $88.18 (股票被纳入)
XRX,2023-11-01,11.49,12.44,610,7591.08,7007.13,583.95,8.33,7.02,
NTNX,2023-06-01,29.87,44.78,253,11329.34,7557.11,3772.23,49.92,10.48,
APP,2023-12-01,38.25,38.25,213,8147.25,8147.25,0.00,0.00,7.54,BUY 213 shares at $38.25 (股票被纳入)
PANW,2023-12-01,148.08,148.08,55,8144.40,8144.40,0.00,0.00,7.54,BUY 55 shares at $148.08 (股票被纳入)
ENPH,2023-08-01,150.32,106.52,43,4580.36,6463.76,-1883.40,-29.14,4.24,
TRMB,2023-12-01,47.36,47.36,172,8145.92,8145.92,0.00,0.00,7.54,BUY 172 shares at $47.36 (股票被纳入)
BL,2023-12-01,60.00,60.00,136,8160.00,8160.00,0.00,0.00,7.55,BUY 136 shares at $60.00 (股票被纳入)
EXTR,2023-09-01,27.14,16.38,273,4471.74,7409.22,-2937.48,-39.65,4.14,
MSTR,2023-12-01,52.77,52.77,154,8126.58,8126.58,0.00,0.00,7.52,BUY 154 shares at $52.77 (股票被纳入)
NSSC,2023-12-01,30.65,30.65,266,8152.90,8152.90,0.00,0.00,7.54,BUY 266 shares at $30.65 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,108068.01,,,,,,,,,
Cash,543.30,,,,,,,,,
Stock Value,107524.71,,,,,,,,,
Monthly Return %,15.32,,,,,,,,,
Cumulative Return %,8.07,,,,,,,,,
