Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
AKAM,2023-03-01,73.05,77.88,75,5841.00,5478.75,362.25,6.61,5.24,
INTC,2023-02-01,29.07,32.89,619,20358.91,17994.33,2364.58,13.14,18.27,
PLAB,2023-04-03,16.41,16.41,428,7023.48,7023.48,0.00,0.00,6.30,BUY 428 shares at $16.41 (股票被纳入)
TER,2023-04-03,106.80,106.80,65,6942.00,6942.00,0.00,0.00,6.23,BUY 65 shares at $106.80 (股票被纳入)
VECO,2023-02-01,20.87,20.91,862,18024.42,17989.94,34.48,0.19,16.18,
SYNA,2023-02-01,132.82,107.90,135,14566.50,17930.70,-3364.20,-18.76,13.07,
EXTR,2023-04-03,18.96,18.96,370,7015.20,7015.20,0.00,0.00,6.30,BUY 370 shares at $18.96 (股票被纳入)
MKSI,2023-03-01,94.55,87.18,58,5056.44,5483.90,-427.46,-7.79,4.54,
FORM,2023-04-03,31.26,31.26,224,7002.24,7002.24,0.00,0.00,6.28,BUY 224 shares at $31.26 (股票被纳入)
TTMI,2023-04-03,13.27,13.27,529,7019.83,7019.83,0.00,0.00,6.30,BUY 529 shares at $13.27 (股票被纳入)
AMKR,2023-03-01,26.17,25.83,210,5424.30,5495.70,-71.40,-1.30,4.87,
DXC,2023-04-03,25.33,25.33,277,7016.41,7016.41,0.00,0.00,6.30,BUY 277 shares at $25.33 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,111417.89,,,,,,,,,
Cash,127.16,,,,,,,,,
Stock Value,111290.73,,,,,,,,,
Monthly Return %,2.49,,,,,,,,,
Cumulative Return %,11.42,,,,,,,,,
