Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
ENPH,2023-08-01,150.32,150.32,43,6463.76,6463.76,0.00,0.00,5.81,BUY 43 shares at $150.32 (股票被纳入)
SPSC,2023-08-01,175.16,175.16,37,6480.92,6480.92,0.00,0.00,5.82,BUY 37 shares at $175.16 (股票被纳入)
ALGM,2023-07-03,45.23,45.24,187,8459.88,8458.01,1.87,0.02,7.60,
MXL,2023-05-01,24.53,24.51,360,8823.60,8830.80,-7.20,-0.08,7.93,
PRF,2023-08-01,33.91,33.91,192,6510.72,6510.72,0.00,0.00,5.85,BUY 192 shares at $33.91 (股票被纳入)
DV,2023-08-01,35.90,35.90,182,6533.80,6533.80,0.00,0.00,5.87,BUY 182 shares at $35.90 (股票被纳入)
VYX,2023-06-01,14.72,16.17,514,8311.38,7566.08,745.30,9.85,7.47,
CRUS,2023-05-01,85.05,81.25,103,8368.75,8760.15,-391.40,-4.47,7.52,
NSSC,2023-07-03,34.27,37.34,248,9260.32,8498.96,761.36,8.96,8.32,
SYNA,2023-02-01,132.82,92.80,135,12528.00,17930.70,-5402.70,-30.13,11.26,
NTNX,2023-06-01,29.87,30.21,253,7643.13,7557.11,86.02,1.14,6.87,
VIAV,2023-07-03,11.36,11.03,748,8250.44,8497.28,-246.84,-2.90,7.41,
EPAM,2023-06-01,257.94,239.48,29,6944.92,7480.26,-535.34,-7.16,6.24,
ALRM,2023-08-01,55.04,55.04,118,6494.72,6494.72,0.00,0.00,5.84,BUY 118 shares at $55.04 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,111288.28,,,,,,,,,
Cash,213.94,,,,,,,,,
Stock Value,111074.34,,,,,,,,,
Monthly Return %,1.16,,,,,,,,,
Cumulative Return %,11.29,,,,,,,,,
