Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
TDC,2024-03-01,38.56,37.37,268,10015.16,10334.08,-318.92,-3.09,6.95,
HLIT,2024-05-01,11.09,11.09,683,7574.47,7574.47,0.00,0.00,5.26,BUY 683 shares at $11.09 (股票被纳入)
PRF,2024-03-01,36.07,35.90,286,10267.40,10316.02,-48.62,-0.47,7.12,
IPGP,2024-03-01,87.67,83.55,117,9775.35,10257.39,-482.04,-4.70,6.78,
FFIV,2024-05-01,166.62,166.62,45,7497.90,7497.90,0.00,0.00,5.20,BUY 45 shares at $166.62 (股票被纳入)
APP,2024-03-01,62.26,69.74,166,11576.84,10335.16,1241.68,12.01,8.03,
ROG,2024-05-01,118.62,118.62,63,7473.06,7473.06,0.00,0.00,5.19,BUY 63 shares at $118.62 (股票被纳入)
QLYS,2024-05-01,165.29,165.29,45,7438.05,7438.05,0.00,0.00,5.16,BUY 45 shares at $165.29 (股票被纳入)
CVLT,2024-05-01,102.71,102.71,73,7497.83,7497.83,0.00,0.00,5.20,BUY 73 shares at $102.71 (股票被纳入)
MARA,2024-03-01,27.00,16.07,383,6154.81,10341.00,-4186.19,-40.48,4.27,
NTNX,2024-02-01,57.08,61.11,163,9960.93,9304.04,656.89,7.06,6.91,
NVDA,2024-03-01,82.24,83.01,125,10376.25,10280.00,96.25,0.94,7.20,
RNG,2024-05-01,30.08,30.08,252,7580.16,7580.16,0.00,0.00,5.26,BUY 252 shares at $30.08 (股票被纳入)
SMCI,2024-01-02,28.55,73.83,310,22887.30,8850.50,14036.80,158.60,15.88,
NSSC,2024-05-01,39.46,39.46,192,7576.32,7576.32,0.00,0.00,5.26,BUY 192 shares at $39.46 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,144109.82,,,,,,,,,
Cash,457.99,,,,,,,,,
Stock Value,143651.83,,,,,,,,,
Monthly Return %,-14.60,,,,,,,,,
Cumulative Return %,44.11,,,,,,,,,
