Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
TER,2024-12-02,112.91,110.80,100,11080.00,11291.00,-211.00,-1.87,6.41,
ADBE,2025-01-02,441.00,438.60,26,11403.60,11466.00,-62.40,-0.54,6.59,
DV,2025-02-03,21.48,21.48,557,11964.36,11964.36,0.00,0.00,6.92,BUY 557 shares at $21.48 (股票被纳入)
ENPH,2025-01-02,71.36,63.91,162,10353.42,11560.32,-1206.90,-10.44,5.99,
MRVL,2025-02-03,113.34,113.34,105,11900.70,11900.70,0.00,0.00,6.88,BUY 105 shares at $113.34 (股票被纳入)
INTU,2025-02-03,598.90,598.90,19,11379.10,11379.10,0.00,0.00,6.58,BUY 19 shares at $598.90 (股票被纳入)
KLAC,2024-12-02,661.49,735.17,17,12497.89,11245.33,1252.56,11.14,7.23,
CDNS,2025-02-03,298.30,298.30,40,11932.00,11932.00,0.00,0.00,6.90,BUY 40 shares at $298.30 (股票被纳入)
OLED,2025-01-02,148.74,142.13,77,10944.01,11452.98,-508.97,-4.44,6.33,
MCHP,2025-01-02,55.64,51.12,208,10632.96,11573.12,-940.16,-8.12,6.15,
MKSI,2025-02-03,110.37,110.37,108,11919.96,11919.96,0.00,0.00,6.89,BUY 108 shares at $110.37 (股票被纳入)
JBL,2025-02-03,159.27,159.27,75,11945.25,11945.25,0.00,0.00,6.91,BUY 75 shares at $159.27 (股票被纳入)
MPWR,2025-01-02,591.37,625.76,19,11889.44,11236.03,653.41,5.82,6.87,
YOU,2025-01-02,26.50,23.05,436,10049.80,11554.00,-1504.20,-13.02,5.81,
FTNT,2025-01-02,94.75,100.90,122,12309.80,11559.50,750.30,6.49,7.12,
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,172948.73,,,,,,,,,
Cash,746.44,,,,,,,,,
Stock Value,172202.29,,,,,,,,,
Monthly Return %,1.47,,,,,,,,,
Cumulative Return %,72.95,,,,,,,,,
