Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
YOU,2025-01-02,27.04,27.04,427,11546.08,11546.08,0.00,0.00,6.82,BUY 427 shares at $27.04 (股票被纳入)
CRUS,2025-01-02,99.41,99.41,116,11531.56,11531.56,0.00,0.00,6.81,BUY 116 shares at $99.41 (股票被纳入)
KLAC,2024-12-02,666.03,636.62,16,10185.92,10656.48,-470.56,-4.42,6.01,
IT,2024-12-02,517.00,483.30,21,10149.30,10857.00,-707.70,-6.52,5.99,
AMAT,2024-12-02,183.27,163.87,61,9996.07,11179.47,-1183.40,-10.59,5.90,
ADBE,2025-01-02,441.00,441.00,26,11466.00,11466.00,0.00,0.00,6.77,BUY 26 shares at $441.00 (股票被纳入)
FTNT,2025-01-02,94.75,94.75,121,11464.75,11464.75,0.00,0.00,6.77,BUY 121 shares at $94.75 (股票被纳入)
NSIT,2025-01-02,149.36,149.36,77,11500.72,11500.72,0.00,0.00,6.79,BUY 77 shares at $149.36 (股票被纳入)
OLED,2025-01-02,149.63,149.63,77,11521.51,11521.51,0.00,0.00,6.80,BUY 77 shares at $149.63 (股票被纳入)
MPWR,2025-01-02,594.22,594.22,19,11290.18,11290.18,0.00,0.00,6.66,BUY 19 shares at $594.22 (股票被纳入)
ENPH,2025-01-02,71.36,71.36,161,11488.96,11488.96,0.00,0.00,6.78,BUY 161 shares at $71.36 (股票被纳入)
TER,2024-12-02,113.20,126.56,99,12529.44,11206.80,1322.64,11.80,7.40,
ACLS,2025-01-02,70.20,70.20,164,11512.80,11512.80,0.00,0.00,6.80,BUY 164 shares at $70.20 (股票被纳入)
QRVO,2024-12-02,70.80,69.76,158,11022.08,11186.40,-164.32,-1.47,6.51,
MCHP,2025-01-02,56.88,56.88,203,11546.64,11546.64,0.00,0.00,6.82,BUY 203 shares at $56.88 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,169398.95,,,,,,,,,
Cash,646.94,,,,,,,,,
Stock Value,168752.01,,,,,,,,,
Monthly Return %,-4.44,,,,,,,,,
Cumulative Return %,69.40,,,,,,,,,
