Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
AGYS,2023-06-01,73.15,73.15,103,7534.45,7534.45,0.00,0.00,7.06,BUY 103 shares at $73.15 (股票被纳入)
CRUS,2023-05-01,85.05,78.63,104,8177.52,8845.20,-667.68,-7.55,7.66,
EPAM,2023-06-01,257.94,257.94,29,7480.26,7480.26,0.00,0.00,7.01,BUY 29 shares at $257.94 (股票被纳入)
RPD,2023-05-01,48.73,47.97,182,8730.54,8868.86,-138.32,-1.56,8.18,
MXL,2023-05-01,24.53,28.53,362,10327.86,8879.86,1448.00,16.31,9.67,
PRF,2023-06-01,29.79,29.79,254,7566.66,7566.66,0.00,0.00,7.09,BUY 254 shares at $29.79 (股票被纳入)
VYX,2023-06-01,14.72,14.72,514,7566.08,7566.08,0.00,0.00,7.09,BUY 514 shares at $14.72 (股票被纳入)
PENG,2023-06-01,22.26,22.26,340,7568.40,7568.40,0.00,0.00,7.09,BUY 340 shares at $22.26 (股票被纳入)
NTNX,2023-06-01,29.87,29.87,253,7557.11,7557.11,0.00,0.00,7.08,BUY 253 shares at $29.87 (股票被纳入)
ATEN,2023-06-01,14.11,14.11,537,7577.07,7577.07,0.00,0.00,7.10,BUY 537 shares at $14.11 (股票被纳入)
SANM,2023-06-01,52.45,52.45,144,7552.80,7552.80,0.00,0.00,7.07,BUY 144 shares at $52.45 (股票被纳入)
SYNA,2023-02-01,132.82,83.85,135,11319.75,17930.70,-6610.95,-36.87,10.60,
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,106780.83,,,,,,,,,
Cash,7822.33,,,,,,,,,
Stock Value,98958.50,,,,,,,,,
Monthly Return %,6.26,,,,,,,,,
Cumulative Return %,6.78,,,,,,,,,
