Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
ADBE,2025-01-02,441.00,440.72,26,11458.72,11466.00,-7.28,-0.06,7.27,
FTNT,2025-01-02,94.75,106.54,121,12891.34,11464.75,1426.59,12.44,8.18,
QCOM,2025-03-03,153.62,153.62,67,10292.54,10292.54,0.00,0.00,6.53,BUY 67 shares at $153.62 (股票被纳入)
CDNS,2025-02-03,298.30,241.74,39,9427.86,11633.70,-2205.84,-18.96,5.98,
ZM,2025-03-03,74.31,74.31,139,10329.09,10329.09,0.00,0.00,6.56,BUY 139 shares at $74.31 (股票被纳入)
DBX,2025-03-03,25.90,25.90,398,10308.20,10308.20,0.00,0.00,6.54,BUY 398 shares at $25.90 (股票被纳入)
OTEX,2025-03-03,25.47,25.47,405,10315.35,10315.35,0.00,0.00,6.55,BUY 405 shares at $25.47 (股票被纳入)
YOU,2025-01-02,27.04,23.77,427,10149.79,11546.08,-1396.29,-12.09,6.44,
IBM,2025-03-03,250.19,250.19,41,10257.79,10257.79,0.00,0.00,6.51,BUY 41 shares at $250.19 (股票被纳入)
AKAM,2025-03-03,81.00,81.00,127,10287.00,10287.00,0.00,0.00,6.53,BUY 127 shares at $81.00 (股票被纳入)
EPAM,2025-03-03,198.61,198.61,52,10327.72,10327.72,0.00,0.00,6.55,BUY 52 shares at $198.61 (股票被纳入)
DLB,2025-03-03,80.88,80.88,127,10271.76,10271.76,0.00,0.00,6.52,BUY 127 shares at $80.88 (股票被纳入)
KEYS,2025-03-03,155.89,155.89,66,10288.74,10288.74,0.00,0.00,6.53,BUY 66 shares at $155.89 (股票被纳入)
SNOW,2025-03-03,173.65,173.65,59,10245.35,10245.35,0.00,0.00,6.50,BUY 59 shares at $173.65 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,157566.78,,,,,,,,,
Cash,10715.53,,,,,,,,,
Stock Value,146851.25,,,,,,,,,
Monthly Return %,-8.29,,,,,,,,,
Cumulative Return %,57.57,,,,,,,,,
