Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
ACMR,2024-09-03,16.70,16.70,610,10187.00,10187.00,0.00,0.00,6.66,BUY 610 shares at $16.70 (股票被纳入)
IPGP,2024-07-01,83.33,65.43,135,8833.05,11249.55,-2416.50,-21.48,5.78,
YOU,2024-09-03,29.56,29.56,344,10168.64,10168.64,0.00,0.00,6.65,BUY 344 shares at $29.56 (股票被纳入)
NSSC,2024-09-03,43.33,43.33,235,10182.55,10182.55,0.00,0.00,6.66,BUY 235 shares at $43.33 (股票被纳入)
ZM,2024-09-03,68.83,68.83,148,10186.84,10186.84,0.00,0.00,6.66,BUY 148 shares at $68.83 (股票被纳入)
MARA,2024-09-03,15.26,15.26,667,10178.42,10178.42,0.00,0.00,6.65,BUY 667 shares at $15.26 (股票被纳入)
EPAM,2024-06-03,176.19,195.34,47,9180.98,8280.93,900.05,10.87,6.00,
NVDA,2024-03-01,82.28,108.00,125,13500.00,10285.00,3215.00,31.26,8.83,
FTNT,2024-09-03,77.13,77.13,132,10181.16,10181.16,0.00,0.00,6.66,BUY 132 shares at $77.13 (股票被纳入)
CRWD,2024-08-01,224.22,266.60,47,12530.20,10538.34,1991.86,18.90,8.19,
LSCC,2024-08-01,48.45,43.05,220,9471.00,10659.00,-1188.00,-11.15,6.19,
TDC,2024-03-01,38.56,27.75,266,7381.50,10256.96,-2875.46,-28.03,4.83,
AMKR,2024-08-01,30.01,29.60,356,10537.60,10683.56,-145.96,-1.37,6.89,
SMCI,2024-09-03,44.18,44.18,230,10161.40,10161.40,0.00,0.00,6.64,BUY 230 shares at $44.18 (股票被纳入)
NTNX,2024-09-03,61.86,61.86,164,10145.04,10145.04,0.00,0.00,6.63,BUY 164 shares at $61.86 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,152944.74,,,,,,,,,
Cash,119.36,,,,,,,,,
Stock Value,152825.38,,,,,,,,,
Monthly Return %,-3.14,,,,,,,,,
Cumulative Return %,52.94,,,,,,,,,
