Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
AMKR,2024-11-01,26.00,26.00,416,10816.00,10816.00,0.00,0.00,6.66,BUY 416 shares at $26.00 (股票被纳入)
ACLS,2024-11-01,86.09,86.09,125,10761.25,10761.25,0.00,0.00,6.63,BUY 125 shares at $86.09 (股票被纳入)
SYNA,2024-11-01,70.22,70.22,154,10813.88,10813.88,0.00,0.00,6.66,BUY 154 shares at $70.22 (股票被纳入)
PLAB,2024-11-01,23.18,23.18,466,10801.88,10801.88,0.00,0.00,6.65,BUY 466 shares at $23.18 (股票被纳入)
PI,2024-10-01,211.67,194.71,49,9540.79,10371.83,-831.04,-8.01,5.88,
NSIT,2024-11-01,172.21,172.21,62,10677.02,10677.02,0.00,0.00,6.58,BUY 62 shares at $172.21 (股票被纳入)
GFS,2024-11-01,36.63,36.63,295,10805.85,10805.85,0.00,0.00,6.66,BUY 295 shares at $36.63 (股票被纳入)
CRUS,2024-11-01,110.30,110.30,98,10809.40,10809.40,0.00,0.00,6.66,BUY 98 shares at $110.30 (股票被纳入)
SWKS,2024-11-01,88.91,88.91,121,10758.11,10758.11,0.00,0.00,6.63,BUY 121 shares at $88.91 (股票被纳入)
CVLT,2024-11-01,155.69,155.69,69,10742.61,10742.61,0.00,0.00,6.62,BUY 69 shares at $155.69 (股票被纳入)
NVDA,2024-03-01,82.28,135.40,125,16925.00,10285.00,6640.00,64.56,10.43,
VRNT,2024-10-01,24.53,21.46,428,9184.88,10498.84,-1313.96,-12.52,5.66,
SMCI,2024-09-03,44.18,26.05,230,5991.50,10161.40,-4169.90,-41.04,3.69,
SCSC,2024-11-01,43.48,43.48,248,10783.04,10783.04,0.00,0.00,6.64,BUY 248 shares at $43.48 (股票被纳入)
RMBS,2024-10-01,40.13,47.95,261,12514.95,10473.93,2041.02,19.49,7.71,
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,162342.07,,,,,,,,,
Cash,415.91,,,,,,,,,
Stock Value,161926.16,,,,,,,,,
Monthly Return %,3.62,,,,,,,,,
Cumulative Return %,62.34,,,,,,,,,
