Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
SWKS,2025-05-01,65.23,68.95,159,10963.05,10371.57,591.48,5.70,6.52,
DXC,2025-06-02,14.82,14.82,785,11633.70,11633.70,0.00,0.00,6.92,BUY 785 shares at $14.82 (股票被纳入)
QRVO,2025-05-01,69.81,76.37,149,11379.13,10401.69,977.44,9.40,6.77,
ON,2025-05-01,39.60,42.54,263,11188.02,10414.80,773.22,7.42,6.66,
FTNT,2025-06-02,102.47,102.47,113,11579.11,11579.11,0.00,0.00,6.89,BUY 113 shares at $102.47 (股票被纳入)
MRVL,2025-05-01,60.95,61.47,170,10449.90,10361.50,88.40,0.85,6.22,
ACLS,2025-05-01,49.11,56.46,212,11969.52,10411.32,1558.20,14.97,7.12,
KEYS,2025-06-02,158.36,158.36,73,11560.28,11560.28,0.00,0.00,6.88,BUY 73 shares at $158.36 (股票被纳入)
SNPS,2025-06-02,466.15,466.15,24,11187.60,11187.60,0.00,0.00,6.66,BUY 24 shares at $466.15 (股票被纳入)
OTEX,2025-06-02,28.08,28.08,414,11625.12,11625.12,0.00,0.00,6.92,BUY 414 shares at $28.08 (股票被纳入)
YOU,2025-01-02,27.04,25.07,427,10704.89,11546.08,-841.19,-7.29,6.37,
ADBE,2025-01-02,441.00,403.40,26,10488.40,11466.00,-977.60,-8.53,6.24,
BILL,2025-05-01,45.49,43.00,229,9847.00,10417.21,-570.21,-5.47,5.86,
TER,2025-05-01,73.78,79.49,141,11208.09,10402.98,805.11,7.74,6.67,
CDNS,2025-06-02,292.53,292.53,39,11408.67,11408.67,0.00,0.00,6.79,BUY 39 shares at $292.53 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,168034.36,,,,,,,,,
Cash,841.88,,,,,,,,,
Stock Value,167192.48,,,,,,,,,
Monthly Return %,8.00,,,,,,,,,
Cumulative Return %,68.03,,,,,,,,,
