symbol,name,price,pl,status
MCHP,微芯科技,45.98$,实时,纳入
ZBRA,美国斑马技术有限公司,249.64$,实时,纳入
MKSI,MKS Instruments,71.63$,实时,纳入
ACLS,Axcelis 科技设计公司,49.11$,实时,纳入
QRVO,Qorvo,69.81$,实时,纳入
SWKS,思佳讯,65.23$,实时,纳入
TER,泰瑞达公司,73.78$,实时,纳入
ON,安森美半导体,39.60$,实时,纳入
ROG,罗杰斯,63.70$,实时,纳入
CRUS,凌云半导体,95.54$,实时,纳入
OLED,Universal Display,141.20$,实时,纳入
MRVL,Marvell,60.95$,实时,纳入
BILL,Bill Com,45.49$,实时,纳入
ZS,Zscaler,201.07$,12.9%,剔除
MSFT,微软,382.19$,11.3%,剔除
FTNT,飞塔信息,94.48$,10.3%,剔除
WDAY,工作日公司,234.53$,5.1%,剔除
ADSK,欧特克公司,264.61$,3.4%,剔除
INTU,财捷集团,613.78$,1.7%,剔除
OTEX,Open Text Corp,25.82$,1.1%,剔除
QLYS,科力斯,128.67$,-1.3%,剔除
ENFN,,11.11$,-3.1%,剔除
ANSS,,333.25$,-4.1%,剔除
AAPL,苹果,223.19$,-4.4%,剔除
ROP,儒博实业,590.78$,-5.5%,剔除
DLB,杜比,81.61$,-6.7%,剔除
