symbol,name,price,pl,status
ZS,Zscaler,201.07$,实时,纳入
WDAY,工作日公司,234.53$,实时,纳入
ADSK,欧特克公司,264.61$,实时,纳入
MSFT,微软,382.19$,实时,纳入
INTU,财捷集团,613.78$,实时,纳入
QLYS,科力斯,128.67$,实时,纳入
ENFN,,11.11$,实时,纳入
AAPL,苹果,223.19$,实时,纳入
ROP,儒博实业,590.78$,实时,纳入
DBX,Dropbox,25.98$,4.6%,剔除
ZM,Zoom 视频通讯,73.70$,0.4%,剔除
AKAM,阿克迈技术,80.68$,-0.1%,剔除
IBM,IBM,252.44$,-0.8%,剔除
QCOM,高通,157.17$,-2.1%,剔除
KEYS,Keysight Technologies,159.53$,-5.9%,剔除
CDNS,铿腾电子,297.62$,-13.1%,剔除
SNOW,Snowflake,177.10$,-15.6%,剔除
EPAM,EPAM Systems,206.14$,-18.7%,剔除
