symbol,name,price,pl,status
MRVL,Marvell,62.87$,实时,纳入
TER,泰瑞达公司,118.24$,实时,纳入
ZM,Zoom 视频通讯,81.42$,实时,纳入
ORCL,甲骨文,226.13$,实时,纳入
ACLS,Axcelis 科技设计公司,80.04$,实时,纳入
NOW,现在服务公司,917.46$,实时,纳入
ZS,Zscaler,277.05$,实时,纳入
SNPS,新思科技,603.52$,实时,纳入
CDNS,铿腾电子,350.43$,实时,纳入
ALAB,Astera Labs,182.20$,实时,纳入
VSAT,卫讯公司,16.58$,95.0%,剔除
SPNS,Sapiens,26.75$,60.4%,剔除
YOU,Clear Secure,26.64$,39.1%,剔除
SWKS,思佳讯,65.23$,17.1%,剔除
TXN,德州仪器,180.86$,11.9%,剔除
ASGN,盎塞,48.60$,11.6%,剔除
QLYS,科力斯,130.53$,4.0%,剔除
BILL,Bill Com,45.49$,2.0%,剔除
MCHP,微芯科技,66.36$,-1.4%,剔除
IT,加特纳,328.54$,-23.5%,剔除
